      Lon      Lat    Year         NH3          NO         N2O          N2
    41.75    60.75    1980    0.027291    7.515452    7.163541    0.015080
    41.75    60.75    1981    0.045956   12.202242   11.127488    0.001940
    41.75    60.75    1982    0.027017    7.549288    6.916889    0.000086
    41.75    60.75    1983    0.032315    8.838692    8.630976    0.046872
    41.75    60.75    1984    0.030640    7.768802    7.414919    0.002074
    41.75    60.75    1985    0.030008    8.247576    7.826559    0.003886
    41.75    60.75    1986    0.025103    6.637088    6.329367    0.014422
    41.75    60.75    1987    0.026045    7.129897    6.889575    0.006106
    41.75    60.75    1988    0.041339   11.159946   10.674402    0.000000
    41.75    60.75    1989    0.042815   11.151650   10.649668    0.018182
    41.75    60.75    1990    0.029378    7.908103    7.508046    0.002979
    41.75    60.75    1991    0.033563    9.627392    9.063826    0.000000
    41.75    60.75    1992    0.027165    7.408403    6.381115    0.000011
    41.75    60.75    1993    0.024276    5.187665    4.944535    0.008833
    41.75    60.75    1994    0.025571    6.291933    5.836973    0.024920
    41.75    60.75    1995    0.036335    9.991185    9.530578    0.000087
    41.75    60.75    1996    0.025697    7.004203    6.540313    0.000274
    41.75    60.75    1997    0.028158    7.619722    6.732464    0.000302
    41.75    60.75    1998    0.030992    7.166526    6.923313    0.033333
    41.75    60.75    1999    0.039836   11.368024   10.480067    0.000006
    41.75    60.75    2000    0.034546    8.975791    8.353209    0.000000
    41.75    60.75    2001    0.031600    8.068361    6.991231    0.000021
    41.75    60.75    2002    0.029087    8.008710    7.215547    0.000812
    41.75    60.75    2003    0.029829    7.452334    6.777004    0.049171
    41.75    60.75    2004    0.029075    8.157799    7.570415    0.001963
    41.75    60.75    2005    0.034751    9.771620    8.970558    0.000000
    41.75    60.75    2006    0.028992    7.471695    6.836268    0.009690
    41.75    60.75    2007    0.028892    7.222432    6.993556    0.070243
    41.75    60.75    2008    0.022793    5.603978    5.325243    0.013549
    41.75    60.75    2009    0.026276    7.020261    6.553107    0.001037
    41.75    60.75    2010    0.039487    9.418026    8.434582    0.002620
   142.25   -20.25    1980    0.040344   11.498450   16.494139    1.327943
   142.25   -20.25    1981    0.042290   11.273855   16.393221    2.454021
   142.25   -20.25    1982    0.037732   11.128755   18.058321    1.955096
   142.25   -20.25    1983    0.038607   12.002128   19.477498    2.058490
   142.25   -20.25    1984    0.037180   10.075343   16.510967    2.515109
   142.25   -20.25    1985    0.037986   12.372404   16.973507    0.820978
   142.25   -20.25    1986    0.039561   12.818574   17.378712    0.428971
   142.25   -20.25    1987    0.040205   11.716801   26.610054    4.672650
   142.25   -20.25    1988    0.035487   11.675987   19.352378    1.000199
   142.25   -20.25    1989    0.038881   10.903985   22.590057    3.895427
   142.25   -20.25    1990    0.035787   11.182964   20.680140    4.040377
   142.25   -20.25    1991    0.040273   10.832851   13.506643    1.306272
   142.25   -20.25    1992    0.042093   12.219379   19.218063    3.387918
   142.25   -20.25    1993    0.041049   11.224301   18.905167    6.007206
   142.25   -20.25    1994    0.037331   11.192285   19.725911    4.358754
   142.25   -20.25    1995    0.041715   12.008236   20.007130    1.593085
   142.25   -20.25    1996    0.038681   11.721484   19.697117    2.176638
   142.25   -20.25    1997    0.039170    9.358720   14.952343    4.025057
   142.25   -20.25    1998    0.043113   12.744711   18.131977    2.354380
   142.25   -20.25    1999    0.039362   10.480856   15.447450    1.689778
   142.25   -20.25    2000    0.039281   10.125984   15.344958    5.405125
   142.25   -20.25    2001    0.040977   10.951072   13.227714    0.820322
   142.25   -20.25    2002    0.035820   10.399255   13.137167    1.329489
   142.25   -20.25    2003    0.041492   11.857272   18.063382    3.138287
   142.25   -20.25    2004    0.037734   10.047011   15.991747    1.741128
   142.25   -20.25    2005    0.039687   12.629163   15.163386    0.491322
   142.25   -20.25    2006    0.035135    9.528812   17.026692    3.671518
   142.25   -20.25    2007    0.037606   10.351466   15.469906    1.218319
   142.25   -20.25    2008    0.038419   10.886845   14.575988    1.223408
   142.25   -20.25    2009    0.038527    9.823840   12.639217    1.379761
   142.25   -20.25    2010    0.043246    9.700073   17.467176    3.123122
