      Lon      Lat    Year     Total
    41.75    60.75    1980     0.248
    41.75    60.75    1981     1.503
    41.75    60.75    1982     2.777
    41.75    60.75    1983     0.048
    41.75    60.75    1984     0.000
    41.75    60.75    1985     0.036
    41.75    60.75    1986     0.376
    41.75    60.75    1987     0.000
    41.75    60.75    1988     0.016
    41.75    60.75    1989     0.000
    41.75    60.75    1990     0.048
    41.75    60.75    1991     0.944
    41.75    60.75    1992     3.766
    41.75    60.75    1993     0.000
    41.75    60.75    1994     2.458
    41.75    60.75    1995     0.401
    41.75    60.75    1996     1.365
    41.75    60.75    1997     3.464
    41.75    60.75    1998     0.000
    41.75    60.75    1999     1.831
    41.75    60.75    2000     1.703
    41.75    60.75    2001     5.143
    41.75    60.75    2002     2.494
    41.75    60.75    2003     3.015
    41.75    60.75    2004     2.691
    41.75    60.75    2005     2.352
    41.75    60.75    2006     1.944
    41.75    60.75    2007     1.273
    41.75    60.75    2008     0.438
    41.75    60.75    2009     1.054
    41.75    60.75    2010     3.337
   142.25   -20.25    1980    27.003
   142.25   -20.25    1981    24.052
   142.25   -20.25    1982    39.276
   142.25   -20.25    1983    40.254
   142.25   -20.25    1984    39.174
   142.25   -20.25    1985    36.012
   142.25   -20.25    1986    32.448
   142.25   -20.25    1987    33.925
   142.25   -20.25    1988    30.818
   142.25   -20.25    1989    32.210
   142.25   -20.25    1990    59.690
   142.25   -20.25    1991    38.329
   142.25   -20.25    1992    34.125
   142.25   -20.25    1993    24.975
   142.25   -20.25    1994    50.815
   142.25   -20.25    1995    30.391
   142.25   -20.25    1996    29.290
   142.25   -20.25    1997    34.317
   142.25   -20.25    1998    35.632
   142.25   -20.25    1999    28.696
   142.25   -20.25    2000    25.064
   142.25   -20.25    2001    42.783
   142.25   -20.25    2002    49.887
   142.25   -20.25    2003    39.351
   142.25   -20.25    2004    45.255
   142.25   -20.25    2005    39.200
   142.25   -20.25    2006    52.038
   142.25   -20.25    2007    49.649
   142.25   -20.25    2008    45.807
   142.25   -20.25    2009    39.866
   142.25   -20.25    2010    19.497
