      Lon      Lat    Year     Total
    41.75    60.75    1980     0.597
    41.75    60.75    1981     2.151
    41.75    60.75    1982     3.205
    41.75    60.75    1983     0.188
    41.75    60.75    1984     0.283
    41.75    60.75    1985     0.239
    41.75    60.75    1986     0.666
    41.75    60.75    1987     0.000
    41.75    60.75    1988     0.264
    41.75    60.75    1989     0.309
    41.75    60.75    1990     0.284
    41.75    60.75    1991     1.514
    41.75    60.75    1992     4.383
    41.75    60.75    1993     0.000
    41.75    60.75    1994     2.938
    41.75    60.75    1995     1.066
    41.75    60.75    1996     1.510
    41.75    60.75    1997     4.657
    41.75    60.75    1998     0.000
    41.75    60.75    1999     3.002
    41.75    60.75    2000     2.158
    41.75    60.75    2001     6.248
    41.75    60.75    2002     3.454
    41.75    60.75    2003     3.604
    41.75    60.75    2004     3.095
    41.75    60.75    2005     3.308
    41.75    60.75    2006     2.610
    41.75    60.75    2007     1.517
    41.75    60.75    2008     0.627
    41.75    60.75    2009     1.419
    41.75    60.75    2010     4.393
   142.25   -20.25    1980    44.993
   142.25   -20.25    1981    40.556
   142.25   -20.25    1982    61.375
   142.25   -20.25    1983    65.443
   142.25   -20.25    1984    57.958
   142.25   -20.25    1985    56.519
   142.25   -20.25    1986    53.649
   142.25   -20.25    1987    54.064
   142.25   -20.25    1988    50.337
   142.25   -20.25    1989    52.193
   142.25   -20.25    1990    85.830
   142.25   -20.25    1991    58.987
   142.25   -20.25    1992    54.119
   142.25   -20.25    1993    43.924
   142.25   -20.25    1994    75.185
   142.25   -20.25    1995    49.243
   142.25   -20.25    1996    47.950
   142.25   -20.25    1997    52.983
   142.25   -20.25    1998    55.084
   142.25   -20.25    1999    46.524
   142.25   -20.25    2000    43.238
   142.25   -20.25    2001    61.350
   142.25   -20.25    2002    71.726
   142.25   -20.25    2003    60.224
   142.25   -20.25    2004    61.134
   142.25   -20.25    2005    58.751
   142.25   -20.25    2006    72.489
   142.25   -20.25    2007    65.794
   142.25   -20.25    2008    65.994
   142.25   -20.25    2009    58.261
   142.25   -20.25    2010    31.126
