      Lon      Lat    Year     Total
    41.75    60.75    1980     0.671
    41.75    60.75    1981     2.455
    41.75    60.75    1982     3.421
    41.75    60.75    1983     0.292
    41.75    60.75    1984     0.355
    41.75    60.75    1985     0.348
    41.75    60.75    1986     0.707
    41.75    60.75    1987     0.000
    41.75    60.75    1988     0.423
    41.75    60.75    1989     0.250
    41.75    60.75    1990     0.298
    41.75    60.75    1991     1.561
    41.75    60.75    1992     4.890
    41.75    60.75    1993     0.000
    41.75    60.75    1994     3.181
    41.75    60.75    1995     1.103
    41.75    60.75    1996     1.642
    41.75    60.75    1997     4.884
    41.75    60.75    1998     0.053
    41.75    60.75    1999     3.217
    41.75    60.75    2000     2.468
    41.75    60.75    2001     6.710
    41.75    60.75    2002     3.770
    41.75    60.75    2003     4.012
    41.75    60.75    2004     3.385
    41.75    60.75    2005     3.761
    41.75    60.75    2006     2.907
    41.75    60.75    2007     1.599
    41.75    60.75    2008     0.556
    41.75    60.75    2009     1.690
    41.75    60.75    2010     4.810
   142.25   -20.25    1980    43.421
   142.25   -20.25    1981    39.609
   142.25   -20.25    1982    59.475
   142.25   -20.25    1983    60.662
   142.25   -20.25    1984    55.449
   142.25   -20.25    1985    52.347
   142.25   -20.25    1986    50.814
   142.25   -20.25    1987    52.544
   142.25   -20.25    1988    46.654
   142.25   -20.25    1989    50.141
   142.25   -20.25    1990    79.857
   142.25   -20.25    1991    56.574
   142.25   -20.25    1992    50.598
   142.25   -20.25    1993    41.017
   142.25   -20.25    1994    71.868
   142.25   -20.25    1995    45.996
   142.25   -20.25    1996    44.765
   142.25   -20.25    1997    50.122
   142.25   -20.25    1998    50.901
   142.25   -20.25    1999    43.656
   142.25   -20.25    2000    38.331
   142.25   -20.25    2001    58.011
   142.25   -20.25    2002    68.406
   142.25   -20.25    2003    56.710
   142.25   -20.25    2004    59.501
   142.25   -20.25    2005    55.440
   142.25   -20.25    2006    69.699
   142.25   -20.25    2007    62.501
   142.25   -20.25    2008    60.245
   142.25   -20.25    2009    56.703
   142.25   -20.25    2010    28.780
