      Lon      Lat    Year         NH3          NO         N2O          N2
    41.75    60.75    1980    0.022472    6.235271    5.882417    0.010732
    41.75    60.75    1981    0.036511    9.324924    8.226887    0.002505
    41.75    60.75    1982    0.021446    5.989153    5.337948    0.000094
    41.75    60.75    1983    0.025487    7.133644    6.875721    0.030002
    41.75    60.75    1984    0.024571    6.401636    6.055316    0.001994
    41.75    60.75    1985    0.023329    6.194747    5.763502    0.003640
    41.75    60.75    1986    0.019757    5.321706    5.042366    0.018367
    41.75    60.75    1987    0.020778    5.795639    5.569396    0.006215
    41.75    60.75    1988    0.032705    9.087707    8.572010    0.000000
    41.75    60.75    1989    0.034077    9.160855    8.691844    0.018370
    41.75    60.75    1990    0.023064    6.192254    5.810178    0.003080
    41.75    60.75    1991    0.025638    7.316420    6.806578    0.000000
    41.75    60.75    1992    0.020067    5.220824    4.250711    0.000007
    41.75    60.75    1993    0.018733    4.553342    4.318476    0.001714
    41.75    60.75    1994    0.017616    4.204329    3.856127    0.035204
    41.75    60.75    1995    0.026871    7.505623    7.108079    0.000070
    41.75    60.75    1996    0.019547    5.290979    4.845316    0.000134
    41.75    60.75    1997    0.020521    5.402800    4.594072    0.000573
    41.75    60.75    1998    0.023629    5.621057    5.411676    0.032387
    41.75    60.75    1999    0.030485    8.321177    7.469631    0.000006
    41.75    60.75    2000    0.027377    7.186273    6.552554    0.000000
    41.75    60.75    2001    0.023262    5.709226    4.671138    0.000023
    41.75    60.75    2002    0.021559    5.631651    4.854634    0.001038
    41.75    60.75    2003    0.021687    5.228072    4.577497    0.034266
    41.75    60.75    2004    0.020939    5.616111    5.064130    0.002064
    41.75    60.75    2005    0.025178    6.768672    5.994754    0.000000
    41.75    60.75    2006    0.021975    5.431204    4.796087    0.006761
    41.75    60.75    2007    0.021191    5.404011    5.291443    0.081290
    41.75    60.75    2008    0.015911    4.180618    3.962542    0.015811
    41.75    60.75    2009    0.017094    4.330113    3.930328    0.000856
    41.75    60.75    2010    0.027374    6.422857    5.543095    0.002242
   142.25   -20.25    1980    0.036482   10.340144   10.551243    0.072131
   142.25   -20.25    1981    0.036998    9.567354   10.280468    0.243141
   142.25   -20.25    1982    0.032791   10.005018   10.217851    0.070649
   142.25   -20.25    1983    0.032166    9.919133   10.928303    0.395976
   142.25   -20.25    1984    0.031564    8.616384    8.997372    0.123397
   142.25   -20.25    1985    0.034218   10.870012   12.024634    0.256819
   142.25   -20.25    1986    0.037158   11.260192   11.530064    0.036856
   142.25   -20.25    1987    0.034698    9.944481   10.329427    0.082575
   142.25   -20.25    1988    0.033015   10.335293   11.117990    0.184433
   142.25   -20.25    1989    0.034181    9.308508    9.636297    0.095002
   142.25   -20.25    1990    0.029345    9.515908   10.796098    0.729798
   142.25   -20.25    1991    0.033415    9.277835    9.568392    0.157631
   142.25   -20.25    1992    0.036374   10.465464   11.137707    0.153566
   142.25   -20.25    1993    0.036729    9.802991   10.516826    0.173111
   142.25   -20.25    1994    0.032552    9.987828   10.209270    0.074120
   142.25   -20.25    1995    0.035167    9.821092   10.435546    0.133439
   142.25   -20.25    1996    0.034737   10.091654   10.612361    0.133332
   142.25   -20.25    1997    0.032579    7.959844    8.329221    0.136248
   142.25   -20.25    1998    0.036241   10.718854   11.468780    0.164289
   142.25   -20.25    1999    0.034643    9.007047    9.476640    0.130850
   142.25   -20.25    2000    0.033950    8.436926    9.182910    0.244619
   142.25   -20.25    2001    0.032867    9.085193    9.595279    0.151947
   142.25   -20.25    2002    0.030520    8.982498    9.367127    0.155965
   142.25   -20.25    2003    0.034829    9.752021   10.319825    0.155550
   142.25   -20.25    2004    0.031136    8.199546    8.496436    0.157859
   142.25   -20.25    2005    0.034691   11.041678   11.716281    0.156150
   142.25   -20.25    2006    0.028539    8.050685    8.582255    0.181430
   142.25   -20.25    2007    0.029905    8.570865    9.673543    0.399013
   142.25   -20.25    2008    0.031932    9.369322    9.859738    0.154318
   142.25   -20.25    2009    0.031657    8.136992    8.449608    0.208067
   142.25   -20.25    2010    0.036271    7.791671    8.839784    0.363779
