      Lon      Lat    Year     Total
    41.75    60.75    1980     0.419
    41.75    60.75    1981     1.892
    41.75    60.75    1982     3.325
    41.75    60.75    1983     0.169
    41.75    60.75    1984     0.028
    41.75    60.75    1985     0.319
    41.75    60.75    1986     0.529
    41.75    60.75    1987     0.000
    41.75    60.75    1988     0.124
    41.75    60.75    1989     0.000
    41.75    60.75    1990     0.248
    41.75    60.75    1991     1.085
    41.75    60.75    1992     4.807
    41.75    60.75    1993     0.000
    41.75    60.75    1994     2.903
    41.75    60.75    1995     0.473
    41.75    60.75    1996     1.859
    41.75    60.75    1997     4.145
    41.75    60.75    1998     0.000
    41.75    60.75    1999     2.065
    41.75    60.75    2000     1.923
    41.75    60.75    2001     6.027
    41.75    60.75    2002     3.173
    41.75    60.75    2003     3.524
    41.75    60.75    2004     3.172
    41.75    60.75    2005     2.971
    41.75    60.75    2006     2.596
    41.75    60.75    2007     1.533
    41.75    60.75    2008     0.684
    41.75    60.75    2009     1.508
    41.75    60.75    2010     3.753
   142.25   -20.25    1980    27.113
   142.25   -20.25    1981    24.103
   142.25   -20.25    1982    39.340
   142.25   -20.25    1983    39.788
   142.25   -20.25    1984    39.065
   142.25   -20.25    1985    35.791
   142.25   -20.25    1986    32.521
   142.25   -20.25    1987    33.771
   142.25   -20.25    1988    30.707
   142.25   -20.25    1989    32.105
   142.25   -20.25    1990    59.023
   142.25   -20.25    1991    38.199
   142.25   -20.25    1992    33.912
   142.25   -20.25    1993    25.043
   142.25   -20.25    1994    50.164
   142.25   -20.25    1995    30.185
   142.25   -20.25    1996    29.266
   142.25   -20.25    1997    34.016
   142.25   -20.25    1998    34.880
   142.25   -20.25    1999    28.758
   142.25   -20.25    2000    24.652
   142.25   -20.25    2001    42.353
   142.25   -20.25    2002    49.843
   142.25   -20.25    2003    39.051
   142.25   -20.25    2004    45.002
   142.25   -20.25    2005    39.236
   142.25   -20.25    2006    51.529
   142.25   -20.25    2007    49.201
   142.25   -20.25    2008    44.442
   142.25   -20.25    2009    39.926
   142.25   -20.25    2010    19.352
