      Lon      Lat    Year     Total
    41.75    60.75    1980     0.006
    41.75    60.75    1981     0.908
    41.75    60.75    1982     2.359
    41.75    60.75    1983     0.000
    41.75    60.75    1984     0.000
    41.75    60.75    1985     0.037
    41.75    60.75    1986     0.140
    41.75    60.75    1987     0.000
    41.75    60.75    1988     0.000
    41.75    60.75    1989     0.000
    41.75    60.75    1990     0.013
    41.75    60.75    1991     0.522
    41.75    60.75    1992     3.155
    41.75    60.75    1993     0.000
    41.75    60.75    1994     1.963
    41.75    60.75    1995     0.036
    41.75    60.75    1996     1.448
    41.75    60.75    1997     2.548
    41.75    60.75    1998     0.000
    41.75    60.75    1999     0.888
    41.75    60.75    2000     0.981
    41.75    60.75    2001     4.061
    41.75    60.75    2002     1.692
    41.75    60.75    2003     2.169
    41.75    60.75    2004     2.168
    41.75    60.75    2005     1.478
    41.75    60.75    2006     1.480
    41.75    60.75    2007     1.003
    41.75    60.75    2008     0.533
    41.75    60.75    2009     0.757
    41.75    60.75    2010     2.092
   142.25   -20.25    1980    14.477
   142.25   -20.25    1981    12.312
   142.25   -20.25    1982    20.487
   142.25   -20.25    1983    20.693
   142.25   -20.25    1984    21.124
   142.25   -20.25    1985    20.444
   142.25   -20.25    1986    16.170
   142.25   -20.25    1987    17.146
   142.25   -20.25    1988    15.989
   142.25   -20.25    1989    16.915
   142.25   -20.25    1990    34.539
   142.25   -20.25    1991    20.723
   142.25   -20.25    1992    18.114
   142.25   -20.25    1993    12.596
   142.25   -20.25    1994    27.989
   142.25   -20.25    1995    15.514
   142.25   -20.25    1996    15.023
   142.25   -20.25    1997    18.672
   142.25   -20.25    1998    18.365
   142.25   -20.25    1999    15.655
   142.25   -20.25    2000    12.436
   142.25   -20.25    2001    23.474
   142.25   -20.25    2002    28.970
   142.25   -20.25    2003    21.749
   142.25   -20.25    2004    26.795
   142.25   -20.25    2005    22.135
   142.25   -20.25    2006    29.428
   142.25   -20.25    2007    31.763
   142.25   -20.25    2008    25.262
   142.25   -20.25    2009    22.379
   142.25   -20.25    2010     9.008
