      Lon      Lat    Year    TeWW    TeSW   TeWWi   TeSWi
    41.75    60.75    1980   0.959   0.958   0.959   0.958
    41.75    60.75    1981   0.919   0.919   0.924   0.926
    41.75    60.75    1982   0.960   0.957   0.965   0.961
    41.75    60.75    1983   0.952   0.952   0.952   0.952
    41.75    60.75    1984   0.935   0.941   0.935   0.941
    41.75    60.75    1985   0.966   0.966   0.966   0.966
    41.75    60.75    1986   0.955   0.954   0.955   0.954
    41.75    60.75    1987   0.962   0.961   0.962   0.961
    41.75    60.75    1988   0.934   0.934   0.934   0.934
    41.75    60.75    1989   0.910   0.913   0.910   0.913
    41.75    60.75    1990   0.965   0.956   0.965   0.956
    41.75    60.75    1991   0.949   0.950   0.951   0.952
    41.75    60.75    1992   0.957   0.957   0.963   0.962
    41.75    60.75    1993   0.966   0.958   0.966   0.958
    41.75    60.75    1994   0.957   0.956   0.962   0.960
    41.75    60.75    1995   0.906   0.927   0.906   0.927
    41.75    60.75    1996   0.965   0.963   0.965   0.965
    41.75    60.75    1997   0.936   0.937   0.951   0.949
    41.75    60.75    1998   0.954   0.955   0.954   0.955
    41.75    60.75    1999   0.892   0.917   0.906   0.925
    41.75    60.75    2000   0.947   0.952   0.952   0.955
    41.75    60.75    2001   0.943   0.948   0.961   0.960
    41.75    60.75    2002   0.956   0.958   0.960   0.960
    41.75    60.75    2003   0.954   0.954   0.962   0.959
    41.75    60.75    2004   0.963   0.964   0.966   0.966
    41.75    60.75    2005   0.953   0.955   0.957   0.958
    41.75    60.75    2006   0.960   0.960   0.963   0.962
    41.75    60.75    2007   0.965   0.964   0.966   0.965
    41.75    60.75    2008   0.967   0.954   0.967   0.954
    41.75    60.75    2009   0.962   0.962   0.963   0.962
    41.75    60.75    2010   0.896   0.858   0.915   0.909
   142.25   -20.25    1980   0.482   0.467   0.725   0.622
   142.25   -20.25    1981   0.526   0.465   0.664   0.587
   142.25   -20.25    1982   0.519   0.468   0.705   0.620
   142.25   -20.25    1983   0.495   0.461   0.722   0.616
   142.25   -20.25    1984   0.519   0.462   0.759   0.593
   142.25   -20.25    1985   0.499   0.458   0.860   0.637
   142.25   -20.25    1986   0.478   0.445   0.747   0.629
   142.25   -20.25    1987   0.498   0.457   0.722   0.636
   142.25   -20.25    1988   0.477   0.460   0.788   0.678
   142.25   -20.25    1989   0.531   0.476   0.668   0.599
   142.25   -20.25    1990   0.488   0.469   0.811   0.671
   142.25   -20.25    1991   0.515   0.461   0.892   0.703
   142.25   -20.25    1992   0.491   0.454   0.774   0.661
   142.25   -20.25    1993   0.534   0.473   0.706   0.607
   142.25   -20.25    1994   0.486   0.452   0.684   0.603
   142.25   -20.25    1995   0.493   0.458   0.833   0.713
   142.25   -20.25    1996   0.498   0.472   0.766   0.655
   142.25   -20.25    1997   0.532   0.472   0.853   0.720
   142.25   -20.25    1998   0.538   0.504   0.852   0.741
   142.25   -20.25    1999   0.570   0.516   0.896   0.682
   142.25   -20.25    2000   0.555   0.521   0.849   0.704
   142.25   -20.25    2001   0.534   0.499   0.892   0.782
   142.25   -20.25    2002   0.488   0.456   0.913   0.813
   142.25   -20.25    2003   0.541   0.483   0.832   0.718
   142.25   -20.25    2004   0.524   0.473   0.802   0.699
   142.25   -20.25    2005   0.481   0.460   0.906   0.826
   142.25   -20.25    2006   0.565   0.514   0.848   0.751
   142.25   -20.25    2007   0.551   0.493   0.869   0.772
   142.25   -20.25    2008   0.526   0.472   0.949   0.754
   142.25   -20.25    2009   0.633   0.525   0.906   0.832
   142.25   -20.25    2010   0.614   0.535   0.836   0.690
