      Lon      Lat    Year        NH4        NO3        NO2         NO        N2O         N2
    41.75    60.75    1980   105.6943    16.0298     0.0000     0.0146     0.0038     0.0000
    41.75    60.75    1981    97.4861    11.4096     0.0000     0.0197     0.0097     0.0000
    41.75    60.75    1982    92.2918     0.0082     0.0000     0.0206     0.0105     0.0000
    41.75    60.75    1983    89.6355     7.7360     0.0000     0.0166     0.0075     0.0000
    41.75    60.75    1984    93.9099     7.0678     0.0000     0.0257     0.0173     0.0001
    41.75    60.75    1985    89.2483    13.2748     0.0000     0.0329     0.0238     0.0000
    41.75    60.75    1986    95.9374     6.9738     0.0000     0.0392     0.0280     0.0001
    41.75    60.75    1987    99.0223    11.3947     0.0000     0.0397     0.0312     0.0000
    41.75    60.75    1988    90.7816    13.2870     0.0000     0.0336     0.0187     0.0000
    41.75    60.75    1989    83.8022     6.2412     0.0000     0.0160     0.0080     0.0001
    41.75    60.75    1990    79.1749     8.3687     0.0000     0.0103     0.0022     0.0000
    41.75    60.75    1991    75.1147     9.6079     0.0000     0.0276     0.0201     0.0000
    41.75    60.75    1992    75.9639    23.4595     0.0136     0.0400     0.0284     0.0000
    41.75    60.75    1993    78.2896     7.0709     0.0000     0.0102     0.0024     0.0000
    41.75    60.75    1994    80.4908    11.9203     0.0000     0.0179     0.0102     0.0000
    41.75    60.75    1995    84.8804    11.1248     0.0000     0.0216     0.0141     0.0000
    41.75    60.75    1996    83.4055     7.4861     0.0000     0.0482     0.0420     0.0000
    41.75    60.75    1997    86.3690    15.2565     0.0000     0.0129     0.0041     0.0000
    41.75    60.75    1998    88.3035     5.6816     0.0000     0.0178     0.0097     0.0000
    41.75    60.75    1999    83.8988    14.4766     0.0000     0.0175     0.0095     0.0000
    41.75    60.75    2000    80.7535     9.7115     0.0000     0.0303     0.0229     0.0000
    41.75    60.75    2001    76.9689    16.2427     0.0000     0.0344     0.0277     0.0000
    41.75    60.75    2002    74.3080    19.1675     0.0000     0.0151     0.0078     0.0000
    41.75    60.75    2003    76.3819     8.9847     0.0000     0.0144     0.0066     0.0000
    41.75    60.75    2004    70.7921     7.5841     0.0000     0.0163     0.0093     0.0000
    41.75    60.75    2005    68.3097    14.6121     0.0000     0.0292     0.0228     0.0000
    41.75    60.75    2006    68.4055     6.6848     0.0000     0.0261     0.0177     0.0000
    41.75    60.75    2007    64.3919     9.9409     0.0000     0.0106     0.0042     0.0000
    41.75    60.75    2008    62.1776     4.6583     0.0000     0.0247     0.0185     0.0000
    41.75    60.75    2009    62.9426     7.4042     0.0000     0.0321     0.0262     0.0000
    41.75    60.75    2010    67.4119     9.6912     0.0000     0.0411     0.0364     0.0000
   142.25   -20.25    1980    13.0558    39.8330     0.8306     0.0659     0.0666     0.0001
   142.25   -20.25    1981    12.0981    31.5761     0.7837     0.0761     0.0769     0.0001
   142.25   -20.25    1982    11.1222    35.4245     0.7721     0.0628     0.0633     0.0000
   142.25   -20.25    1983    12.2946    33.9181     0.8474     0.0827     0.0835     0.0001
   142.25   -20.25    1984    12.8386    30.3524     0.7103     0.0837     0.0844     0.0001
   142.25   -20.25    1985    12.1319    35.2967     1.6442     0.0937     0.0983     0.0004
   142.25   -20.25    1986    12.8578    45.1668     1.2803     0.0867     0.0886     0.0001
   142.25   -20.25    1987    10.6290    32.6467     1.7966     0.0332     0.0400     0.0014
   142.25   -20.25    1988    13.1826    35.6879     3.0955     0.0472     0.0677     0.0073
   142.25   -20.25    1989    13.8247    25.7713     0.8209     0.1254     0.1266     0.0001
   142.25   -20.25    1990     9.7857    29.1664     0.7989     0.0656     0.0665     0.0001
   142.25   -20.25    1991     9.5089    30.8832     0.5516     0.0488     0.0490     0.0000
   142.25   -20.25    1992    13.3406    39.2995     1.8132     0.0684     0.0736     0.0006
   142.25   -20.25    1993    14.5497    35.4160     1.6814     0.0906     0.0966     0.0007
   142.25   -20.25    1994    10.0865    36.2537     0.4878     0.0444     0.0445     0.0000
   142.25   -20.25    1995    11.9196    33.9748     1.8929     0.0459     0.0536     0.0011
   142.25   -20.25    1996    10.7234    29.7430     1.2222     0.0980     0.1009     0.0002
   142.25   -20.25    1997    12.8719    19.9116     2.0674     0.0235     0.0387     0.0102
   142.25   -20.25    1998    10.3935    24.7952     1.7572     0.0506     0.0563     0.0055
   142.25   -20.25    1999    12.1509    22.8485     1.8962     0.0342     0.0451     0.0055
   142.25   -20.25    2000    13.9410    15.2849     2.3093     0.0135     0.0403     0.0321
   142.25   -20.25    2001     9.8096    24.2820     1.8592     0.0699     0.0797     0.0012
   142.25   -20.25    2002     9.8038    35.3345     0.6111     0.0403     0.0405     0.0000
   142.25   -20.25    2003    12.1346    32.9549     2.2756     0.0402     0.0513     0.0042
   142.25   -20.25    2004    12.5012    27.3062     2.2107     0.0373     0.0513     0.0102
   142.25   -20.25    2005     9.1724    35.9725     1.3847     0.0833     0.0863     0.0002
   142.25   -20.25    2006     8.8109    27.3029     0.5891     0.0466     0.0470     0.0000
   142.25   -20.25    2007    11.0624    21.9516     2.6034     0.0228     0.0515     0.0113
   142.25   -20.25    2008     8.5961    27.6497     1.3223     0.0495     0.0526     0.0003
   142.25   -20.25    2009    12.3047    28.8326     1.7047     0.0421     0.0483     0.0029
   142.25   -20.25    2010    15.5014    13.8885     2.2767     0.0097     0.0449     0.0356
