      Lon      Lat    Year     Total
    41.75    60.75    1980     0.524
    41.75    60.75    1981     2.005
    41.75    60.75    1982     3.093
    41.75    60.75    1983     0.159
    41.75    60.75    1984     0.179
    41.75    60.75    1985     0.179
    41.75    60.75    1986     0.596
    41.75    60.75    1987     0.000
    41.75    60.75    1988     0.179
    41.75    60.75    1989     0.218
    41.75    60.75    1990     0.218
    41.75    60.75    1991     1.337
    41.75    60.75    1992     4.269
    41.75    60.75    1993     0.000
    41.75    60.75    1994     2.835
    41.75    60.75    1995     1.048
    41.75    60.75    1996     1.521
    41.75    60.75    1997     4.518
    41.75    60.75    1998     0.000
    41.75    60.75    1999     2.737
    41.75    60.75    2000     2.019
    41.75    60.75    2001     5.945
    41.75    60.75    2002     3.177
    41.75    60.75    2003     3.420
    41.75    60.75    2004     2.980
    41.75    60.75    2005     2.972
    41.75    60.75    2006     2.478
    41.75    60.75    2007     1.409
    41.75    60.75    2008     0.587
    41.75    60.75    2009     1.375
    41.75    60.75    2010     4.205
   142.25   -20.25    1980    46.153
   142.25   -20.25    1981    41.864
   142.25   -20.25    1982    62.423
   142.25   -20.25    1983    64.007
   142.25   -20.25    1984    58.146
   142.25   -20.25    1985    55.420
   142.25   -20.25    1986    54.156
   142.25   -20.25    1987    55.865
   142.25   -20.25    1988    50.523
   142.25   -20.25    1989    53.442
   142.25   -20.25    1990    82.666
   142.25   -20.25    1991    59.861
   142.25   -20.25    1992    54.251
   142.25   -20.25    1993    44.840
   142.25   -20.25    1994    75.132
   142.25   -20.25    1995    49.258
   142.25   -20.25    1996    48.079
   142.25   -20.25    1997    53.139
   142.25   -20.25    1998    53.979
   142.25   -20.25    1999    47.076
   142.25   -20.25    2000    41.700
   142.25   -20.25    2001    60.783
   142.25   -20.25    2002    71.112
   142.25   -20.25    2003    60.123
   142.25   -20.25    2004    61.922
   142.25   -20.25    2005    58.462
   142.25   -20.25    2006    72.628
   142.25   -20.25    2007    64.953
   142.25   -20.25    2008    64.934
   142.25   -20.25    2009    59.184
   142.25   -20.25    2010    30.992
