      Lon      Lat    Year     Total
    41.75    60.75    1980     0.473
    41.75    60.75    1981     1.970
    41.75    60.75    1982     3.462
    41.75    60.75    1983     0.189
    41.75    60.75    1984     0.043
    41.75    60.75    1985     0.467
    41.75    60.75    1986     0.561
    41.75    60.75    1987     0.000
    41.75    60.75    1988     0.142
    41.75    60.75    1989     0.000
    41.75    60.75    1990     0.367
    41.75    60.75    1991     1.137
    41.75    60.75    1992     5.029
    41.75    60.75    1993     0.000
    41.75    60.75    1994     2.998
    41.75    60.75    1995     0.477
    41.75    60.75    1996     2.005
    41.75    60.75    1997     4.385
    41.75    60.75    1998     0.000
    41.75    60.75    1999     2.131
    41.75    60.75    2000     1.972
    41.75    60.75    2001     6.236
    41.75    60.75    2002     3.371
    41.75    60.75    2003     3.584
    41.75    60.75    2004     3.297
    41.75    60.75    2005     3.049
    41.75    60.75    2006     2.866
    41.75    60.75    2007     1.619
    41.75    60.75    2008     0.850
    41.75    60.75    2009     1.620
    41.75    60.75    2010     3.745
   142.25   -20.25    1980    25.809
   142.25   -20.25    1981    23.152
   142.25   -20.25    1982    37.670
   142.25   -20.25    1983    38.953
   142.25   -20.25    1984    38.112
   142.25   -20.25    1985    36.397
   142.25   -20.25    1986    31.341
   142.25   -20.25    1987    32.264
   142.25   -20.25    1988    29.726
   142.25   -20.25    1989    30.762
   142.25   -20.25    1990    59.928
   142.25   -20.25    1991    37.235
   142.25   -20.25    1992    32.935
   142.25   -20.25    1993    24.277
   142.25   -20.25    1994    49.200
   142.25   -20.25    1995    29.544
   142.25   -20.25    1996    28.347
   142.25   -20.25    1997    33.109
   142.25   -20.25    1998    34.970
   142.25   -20.25    1999    27.961
   142.25   -20.25    2000    24.274
   142.25   -20.25    2001    41.555
   142.25   -20.25    2002    49.587
   142.25   -20.25    2003    38.514
   142.25   -20.25    2004    43.773
   142.25   -20.25    2005    39.130
   142.25   -20.25    2006    50.549
   142.25   -20.25    2007    48.920
   142.25   -20.25    2008    44.254
   142.25   -20.25    2009    38.556
   142.25   -20.25    2010    19.146
