      Lon      Lat    Year        NH4        NO3        NO2         NO        N2O         N2
    41.75    60.75    1980    91.4105    16.1156     0.0000     0.0127     0.0033     0.0000
    41.75    60.75    1981    87.2396    11.0294     0.0000     0.0177     0.0088     0.0000
    41.75    60.75    1982    78.4179     0.0069     0.0000     0.0176     0.0090     0.0000
    41.75    60.75    1983    76.6247     7.4448     0.0000     0.0141     0.0064     0.0000
    41.75    60.75    1984    82.2826     6.6539     0.0000     0.0226     0.0153     0.0001
    41.75    60.75    1985    75.8590    12.5314     0.0000     0.0275     0.0198     0.0000
    41.75    60.75    1986    82.9629     6.4543     0.0000     0.0338     0.0242     0.0001
    41.75    60.75    1987    85.1625    11.2679     0.0000     0.0342     0.0268     0.0000
    41.75    60.75    1988    79.7080    13.1456     0.0000     0.0296     0.0165     0.0000
    41.75    60.75    1989    76.6719     5.9875     0.0000     0.0147     0.0074     0.0001
    41.75    60.75    1990    68.7416     8.0885     0.0000     0.0089     0.0019     0.0000
    41.75    60.75    1991    67.1732     9.2297     0.0000     0.0247     0.0180     0.0000
    41.75    60.75    1992    64.8984    22.9479     0.0147     0.0330     0.0229     0.0000
    41.75    60.75    1993    60.5573     6.5946     0.0000     0.0079     0.0019     0.0000
    41.75    60.75    1994    61.2843    10.6741     0.0000     0.0138     0.0079     0.0000
    41.75    60.75    1995    71.5585    10.2789     0.0000     0.0183     0.0119     0.0000
    41.75    60.75    1996    66.7336     6.8961     0.0000     0.0395     0.0345     0.0000
    41.75    60.75    1997    70.8632    14.9617     0.0000     0.0105     0.0033     0.0000
    41.75    60.75    1998    70.8527     5.1899     0.0000     0.0143     0.0078     0.0000
    41.75    60.75    1999    71.8931    13.4433     0.0000     0.0151     0.0082     0.0000
    41.75    60.75    2000    69.7885     8.8353     0.0000     0.0262     0.0198     0.0000
    41.75    60.75    2001    65.6162    15.6054     0.0000     0.0291     0.0233     0.0000
    41.75    60.75    2002    62.7746    18.5126     0.0000     0.0125     0.0063     0.0000
    41.75    60.75    2003    64.0126     8.2704     0.0000     0.0121     0.0055     0.0000
    41.75    60.75    2004    56.6830     6.8949     0.0000     0.0132     0.0076     0.0000
    41.75    60.75    2005    57.0937    13.2871     0.0000     0.0243     0.0189     0.0000
    41.75    60.75    2006    56.6046     6.3486     0.0000     0.0216     0.0146     0.0000
    41.75    60.75    2007    50.8979     8.6050     0.0000     0.0083     0.0033     0.0000
    41.75    60.75    2008    45.4069     4.1408     0.0000     0.0182     0.0137     0.0000
    41.75    60.75    2009    45.7789     6.3349     0.0000     0.0231     0.0188     0.0000
    41.75    60.75    2010    55.6529     8.8050     0.0000     0.0339     0.0300     0.0000
   142.25   -20.25    1980    15.4416    49.2843     1.0097     0.0647     0.0657     0.0001
   142.25   -20.25    1981    14.3975    39.8072     0.9468     0.0751     0.0762     0.0001
   142.25   -20.25    1982    14.7301    44.3334     0.9206     0.0617     0.0624     0.0001
   142.25   -20.25    1983    15.3936    43.1901     1.0056     0.0823     0.0834     0.0001
   142.25   -20.25    1984    14.3459    36.1792     0.8455     0.0828     0.0837     0.0001
   142.25   -20.25    1985    14.0183    46.2532     2.1116     0.0967     0.1030     0.0005
   142.25   -20.25    1986    16.4125    59.0603     1.5325     0.0871     0.0895     0.0002
   142.25   -20.25    1987    14.1861    43.8891     2.1884     0.0389     0.0476     0.0017
   142.25   -20.25    1988    15.4641    46.3061     4.4065     0.0649     0.0998     0.0104
   142.25   -20.25    1989    16.2168    35.4397     1.0523     0.1258     0.1273     0.0001
   142.25   -20.25    1990    11.8715    34.8876     0.9503     0.0644     0.0657     0.0001
   142.25   -20.25    1991    13.1710    39.1952     0.6840     0.0481     0.0484     0.0000
   142.25   -20.25    1992    15.6973    47.5098     2.1691     0.0715     0.0782     0.0007
   142.25   -20.25    1993    16.5498    43.6903     2.0203     0.0932     0.1011     0.0009
   142.25   -20.25    1994    13.6654    45.7176     0.6643     0.0429     0.0431     0.0000
   142.25   -20.25    1995    14.9298    43.1326     2.2902     0.0495     0.0595     0.0013
   142.25   -20.25    1996    12.7070    39.7408     1.5114     0.0997     0.1035     0.0003
   142.25   -20.25    1997    15.4685    26.5924     3.3468     0.0335     0.0675     0.0173
   142.25   -20.25    1998    11.6430    29.8431     2.2823     0.0522     0.0612     0.0078
   142.25   -20.25    1999    14.1246    29.8589     2.5650     0.0437     0.0605     0.0079
   142.25   -20.25    2000    14.9499    19.2099     3.6620     0.0160     0.0790     0.0792
   142.25   -20.25    2001    10.8054    29.2117     2.2366     0.0702     0.0834     0.0015
   142.25   -20.25    2002    13.0885    44.0396     0.7432     0.0391     0.0394     0.0000
   142.25   -20.25    2003    15.0896    42.7602     3.0327     0.0511     0.0670     0.0058
   142.25   -20.25    2004    13.5742    32.8954     2.9105     0.0446     0.0655     0.0145
   142.25   -20.25    2005    12.6087    46.8220     1.7185     0.0823     0.0862     0.0003
   142.25   -20.25    2006    11.1048    33.2685     0.7689     0.0455     0.0461     0.0001
   142.25   -20.25    2007    12.7777    26.8394     3.1402     0.0261     0.0645     0.0150
   142.25   -20.25    2008    11.2233    34.5616     1.5710     0.0504     0.0544     0.0004
   142.25   -20.25    2009    15.0964    36.9513     2.1927     0.0470     0.0558     0.0037
   142.25   -20.25    2010    15.6094    16.6295     3.2968     0.0107     0.0780     0.0664
