      Lon      Lat    Year         NH3          NO         N2O          N2
    41.75    60.75    1980    0.022321    6.198951    5.842223    0.010388
    41.75    60.75    1981    0.036522    9.328517    8.229666    0.002786
    41.75    60.75    1982    0.021625    6.048989    5.387368    0.000069
    41.75    60.75    1983    0.025837    7.230646    6.964447    0.030830
    41.75    60.75    1984    0.024795    6.460838    6.112941    0.001973
    41.75    60.75    1985    0.023420    6.191093    5.746479    0.004081
    41.75    60.75    1986    0.019904    5.355517    5.064307    0.016245
    41.75    60.75    1987    0.020822    5.783441    5.548224    0.006528
    41.75    60.75    1988    0.032949    9.199327    8.683165    0.000000
    41.75    60.75    1989    0.034713    9.342574    8.867713    0.019467
    41.75    60.75    1990    0.023486    6.288345    5.887954    0.003204
    41.75    60.75    1991    0.026181    7.492615    6.968176    0.000000
    41.75    60.75    1992    0.020191    5.251392    4.267386    0.000000
    41.75    60.75    1993    0.018793    4.604002    4.364231    0.001769
    41.75    60.75    1994    0.017402    4.147505    3.801403    0.036522
    41.75    60.75    1995    0.026671    7.444553    7.049201    0.000042
    41.75    60.75    1996    0.019261    5.190677    4.744590    0.000039
    41.75    60.75    1997    0.020172    5.302304    4.494801    0.000589
    41.75    60.75    1998    0.023241    5.543237    5.340844    0.033107
    41.75    60.75    1999    0.030117    8.221242    7.378806    0.000006
    41.75    60.75    2000    0.027367    7.191265    6.564652    0.000000
    41.75    60.75    2001    0.023575    5.778177    4.715909    0.000042
    41.75    60.75    2002    0.022121    5.762353    4.950405    0.001255
    41.75    60.75    2003    0.022260    5.374389    4.709549    0.040279
    41.75    60.75    2004    0.021480    5.756136    5.180153    0.002678
    41.75    60.75    2005    0.025571    6.861827    6.068016    0.000000
    41.75    60.75    2006    0.022165    5.471067    4.821983    0.007103
    41.75    60.75    2007    0.021315    5.440447    5.330188    0.083142
    41.75    60.75    2008    0.016065    4.235735    4.007278    0.016066
    41.75    60.75    2009    0.017223    4.350109    3.940319    0.000960
    41.75    60.75    2010    0.027389    6.427791    5.543185    0.002349
   142.25   -20.25    1980    0.037639   10.813741   14.833743    1.044370
   142.25   -20.25    1981    0.040677   10.456291   15.346485    2.345073
   142.25   -20.25    1982    0.034278   10.506915   14.145568    1.034216
   142.25   -20.25    1983    0.034713   10.572661   13.669226    1.090769
   142.25   -20.25    1984    0.033361    9.054223   12.965298    1.579798
   142.25   -20.25    1985    0.036081   11.480046   14.119546    0.571814
   142.25   -20.25    1986    0.038757   11.586000   12.759096    0.126009
   142.25   -20.25    1987    0.038163   11.004338   18.481696    2.059931
   142.25   -20.25    1988    0.035472   10.992843   13.582744    0.424093
   142.25   -20.25    1989    0.037064   10.273187   17.207341    2.221405
   142.25   -20.25    1990    0.030756    9.868832   13.500365    1.937710
   142.25   -20.25    1991    0.034606    9.549814   10.973258    0.696905
   142.25   -20.25    1992    0.037918   10.905257   13.086434    0.777952
   142.25   -20.25    1993    0.039273   10.598542   14.994488    3.435773
   142.25   -20.25    1994    0.034478   10.531855   14.919808    2.195244
   142.25   -20.25    1995    0.037086   10.389904   11.863479    0.304400
   142.25   -20.25    1996    0.036582   10.770705   14.088273    0.947080
   142.25   -20.25    1997    0.034436    8.412086   10.069230    0.906417
   142.25   -20.25    1998    0.037326   10.986243   13.023427    0.610186
   142.25   -20.25    1999    0.035443    9.311997   12.143554    1.017154
   142.25   -20.25    2000    0.034890    8.837756   11.096491    1.352632
   142.25   -20.25    2001    0.033096    9.214188   10.088387    0.277655
   142.25   -20.25    2002    0.029786    8.877871    9.428771    0.230891
   142.25   -20.25    2003    0.036315   10.248437   11.463511    0.419847
   142.25   -20.25    2004    0.032633    8.674366   10.435022    0.664561
   142.25   -20.25    2005    0.034831   10.975051   11.987075    0.231443
   142.25   -20.25    2006    0.028956    8.278946    9.825931    0.629984
   142.25   -20.25    2007    0.030373    8.653263   10.843628    0.773602
   142.25   -20.25    2008    0.032248    9.462532   10.125303    0.215845
   142.25   -20.25    2009    0.031705    8.096969    8.501898    0.327184
   142.25   -20.25    2010    0.037460    8.201109   10.546987    0.856093
