      Lon      Lat    Year     Total
    41.75    60.75    1980     0.767
    41.75    60.75    1981     2.565
    41.75    60.75    1982     3.715
    41.75    60.75    1983     0.340
    41.75    60.75    1984     0.397
    41.75    60.75    1985     0.573
    41.75    60.75    1986     0.791
    41.75    60.75    1987     0.000
    41.75    60.75    1988     0.448
    41.75    60.75    1989     0.275
    41.75    60.75    1990     0.489
    41.75    60.75    1991     1.688
    41.75    60.75    1992     5.354
    41.75    60.75    1993     0.000
    41.75    60.75    1994     3.335
    41.75    60.75    1995     1.168
    41.75    60.75    1996     1.982
    41.75    60.75    1997     5.219
    41.75    60.75    1998     0.054
    41.75    60.75    1999     3.295
    41.75    60.75    2000     2.515
    41.75    60.75    2001     6.985
    41.75    60.75    2002     4.052
    41.75    60.75    2003     4.115
    41.75    60.75    2004     3.578
    41.75    60.75    2005     3.967
    41.75    60.75    2006     3.341
    41.75    60.75    2007     1.766
    41.75    60.75    2008     0.834
    41.75    60.75    2009     1.914
    41.75    60.75    2010     4.927
   142.25   -20.25    1980    43.946
   142.25   -20.25    1981    39.780
   142.25   -20.25    1982    60.432
   142.25   -20.25    1983    64.149
   142.25   -20.25    1984    57.008
   142.25   -20.25    1985    55.459
   142.25   -20.25    1986    52.621
   142.25   -20.25    1987    53.321
   142.25   -20.25    1988    48.884
   142.25   -20.25    1989    50.782
   142.25   -20.25    1990    84.256
   142.25   -20.25    1991    57.425
   142.25   -20.25    1992    52.558
   142.25   -20.25    1993    42.642
   142.25   -20.25    1994    73.394
   142.25   -20.25    1995    47.720
   142.25   -20.25    1996    46.885
   142.25   -20.25    1997    51.679
   142.25   -20.25    1998    53.147
   142.25   -20.25    1999    45.119
   142.25   -20.25    2000    41.465
   142.25   -20.25    2001    60.220
   142.25   -20.25    2002    70.544
   142.25   -20.25    2003    58.964
   142.25   -20.25    2004    60.435
   142.25   -20.25    2005    57.688
   142.25   -20.25    2006    71.362
   142.25   -20.25    2007    64.313
   142.25   -20.25    2008    63.624
   142.25   -20.25    2009    57.496
   142.25   -20.25    2010    30.208
