      Lon      Lat    Year         NH3          NO         N2O          N2
    41.75    60.75    1980    0.022294    6.186341    5.844660    0.010410
    41.75    60.75    1981    0.036235    9.259706    8.176818    0.002504
    41.75    60.75    1982    0.021251    5.913978    5.282019    0.000029
    41.75    60.75    1983    0.025135    7.029881    6.778052    0.029073
    41.75    60.75    1984    0.024306    6.324515    5.984596    0.001961
    41.75    60.75    1985    0.023126    6.163450    5.747354    0.003535
    41.75    60.75    1986    0.019520    5.252543    4.979053    0.016203
    41.75    60.75    1987    0.020545    5.739862    5.524011    0.005497
    41.75    60.75    1988    0.032427    8.995016    8.483874    0.000000
    41.75    60.75    1989    0.033756    9.068380    8.598287    0.017686
    41.75    60.75    1990    0.022808    6.137912    5.767717    0.003012
    41.75    60.75    1991    0.025264    7.187172    6.688555    0.000000
    41.75    60.75    1992    0.019874    5.175442    4.227376    0.000009
    41.75    60.75    1993    0.018424    4.444998    4.216714    0.001860
    41.75    60.75    1994    0.017341    4.142800    3.804646    0.034144
    41.75    60.75    1995    0.026494    7.385006    7.000017    0.000028
    41.75    60.75    1996    0.019370    5.263964    4.837847    0.000154
    41.75    60.75    1997    0.020153    5.306903    4.522474    0.000377
    41.75    60.75    1998    0.023122    5.487249    5.282589    0.031103
    41.75    60.75    1999    0.029951    8.169863    7.334109    0.000005
    41.75    60.75    2000    0.026920    7.035051    6.411597    0.000000
    41.75    60.75    2001    0.022982    5.650111    4.630165    0.000049
    41.75    60.75    2002    0.021305    5.578864    4.821031    0.001028
    41.75    60.75    2003    0.021237    5.108370    4.467908    0.029538
    41.75    60.75    2004    0.020404    5.472990    4.938678    0.001853
    41.75    60.75    2005    0.024588    6.626644    5.884600    0.000000
    41.75    60.75    2006    0.021580    5.334462    4.719368    0.007142
    41.75    60.75    2007    0.020718    5.279060    5.176498    0.079443
    41.75    60.75    2008    0.015529    4.071123    3.866539    0.015448
    41.75    60.75    2009    0.016669    4.239667    3.859289    0.000826
    41.75    60.75    2010    0.026914    6.319306    5.464512    0.002174
   142.25   -20.25    1980    0.036734   10.388489   10.583138    0.065727
   142.25   -20.25    1981    0.037213    9.628525   10.291953    0.224061
   142.25   -20.25    1982    0.033138   10.068261   10.264290    0.065088
   142.25   -20.25    1983    0.032265    9.935768   10.880336    0.373917
   142.25   -20.25    1984    0.031914    8.696241    9.042983    0.108978
   142.25   -20.25    1985    0.034291   10.895055   11.980186    0.241954
   142.25   -20.25    1986    0.037264   11.320554   11.577065    0.035529
   142.25   -20.25    1987    0.034873    9.976801   10.335974    0.077312
   142.25   -20.25    1988    0.033024   10.365616   11.114163    0.176972
   142.25   -20.25    1989    0.034431    9.350831    9.657824    0.088855
   142.25   -20.25    1990    0.029468    9.533901   10.722220    0.684474
   142.25   -20.25    1991    0.033631    9.332127    9.604732    0.146716
   142.25   -20.25    1992    0.036553   10.503499   11.141134    0.145211
   142.25   -20.25    1993    0.036942    9.834883   10.502289    0.162135
   142.25   -20.25    1994    0.032671   10.020536   10.227517    0.069167
   142.25   -20.25    1995    0.035413    9.870208   10.457512    0.126845
   142.25   -20.25    1996    0.035051   10.179538   10.680958    0.126511
   142.25   -20.25    1997    0.032997    8.048731    8.389334    0.126488
   142.25   -20.25    1998    0.036537   10.792242   11.502641    0.155125
   142.25   -20.25    1999    0.035115    9.116449    9.562779    0.123503
   142.25   -20.25    2000    0.034543    8.571508    9.289158    0.230815
   142.25   -20.25    2001    0.033501    9.208445    9.678952    0.139740
   142.25   -20.25    2002    0.030879    9.073628    9.435300    0.146388
   142.25   -20.25    2003    0.035000    9.796219   10.327465    0.145705
   142.25   -20.25    2004    0.031439    8.290385    8.567607    0.147146
   142.25   -20.25    2005    0.034810   11.093124   11.769454    0.154745
   142.25   -20.25    2006    0.028905    8.123640    8.622213    0.170872
   142.25   -20.25    2007    0.030258    8.650480    9.696506    0.382865
   142.25   -20.25    2008    0.032199    9.422081    9.880841    0.144020
   142.25   -20.25    2009    0.032248    8.307362    8.602366    0.195077
   142.25   -20.25    2010    0.036799    7.911227    8.899537    0.342026
