      Lon      Lat    Year         NH3          NO         N2O          N2
    41.75    60.75    1980    0.026473    7.336815    6.932967    0.010460
    41.75    60.75    1981    0.043736   11.312447   10.091601    0.002418
    41.75    60.75    1982    0.026019    7.277261    6.570076    0.000099
    41.75    60.75    1983    0.031515    8.771714    8.494386    0.039679
    41.75    60.75    1984    0.029668    7.709384    7.300580    0.002341
    41.75    60.75    1985    0.028548    7.698720    7.219422    0.004560
    41.75    60.75    1986    0.023993    6.414359    6.077362    0.016306
    41.75    60.75    1987    0.024890    6.944462    6.680587    0.004929
    41.75    60.75    1988    0.039442   10.946053   10.381579    0.000000
    41.75    60.75    1989    0.040202   10.776437   10.204864    0.021910
    41.75    60.75    1990    0.027325    7.371300    6.945052    0.003765
    41.75    60.75    1991    0.031220    8.929461    8.310312    0.000000
    41.75    60.75    1992    0.024917    6.585462    5.485413    0.000017
    41.75    60.75    1993    0.023326    5.388626    5.112741    0.001795
    41.75    60.75    1994    0.023789    5.776961    5.302618    0.029073
    41.75    60.75    1995    0.034322    9.518717    9.006471    0.000000
    41.75    60.75    1996    0.024249    6.620644    6.118726    0.000187
    41.75    60.75    1997    0.026180    6.922385    5.936586    0.000521
    41.75    60.75    1998    0.029800    7.035053    6.769286    0.033018
    41.75    60.75    1999    0.037798   10.359045    9.316388    0.000006
    41.75    60.75    2000    0.033231    8.701890    7.984988    0.000000
    41.75    60.75    2001    0.029502    7.332700    6.134337    0.000010
    41.75    60.75    2002    0.027654    7.326465    6.402300    0.001114
    41.75    60.75    2003    0.028520    6.974970    6.209030    0.052787
    41.75    60.75    2004    0.028060    7.719157    7.048468    0.002119
    41.75    60.75    2005    0.033358    9.092657    8.141312    0.000000
    41.75    60.75    2006    0.028248    7.084819    6.349032    0.009392
    41.75    60.75    2007    0.028064    7.125835    6.885052    0.078222
    41.75    60.75    2008    0.021856    5.569776    5.276060    0.015595
    41.75    60.75    2009    0.024786    6.452434    5.926807    0.001003
    41.75    60.75    2010    0.037141    8.702640    7.568949    0.002599
   142.25   -20.25    1980    0.038203   10.914474   16.124879    1.376925
   142.25   -20.25    1981    0.041711   10.710729   16.409760    2.771261
   142.25   -20.25    1982    0.035017   10.659201   16.029132    1.506630
   142.25   -20.25    1983    0.035802   10.830419   14.584289    1.249710
   142.25   -20.25    1984    0.034050    9.200172   13.666197    1.851053
   142.25   -20.25    1985    0.036856   11.707950   14.698098    0.621750
   142.25   -20.25    1986    0.039085   11.718422   13.380123    0.171399
   142.25   -20.25    1987    0.038974   11.174309   21.150797    2.796129
   142.25   -20.25    1988    0.036047   11.177985   14.710717    0.526486
   142.25   -20.25    1989    0.037797   10.489659   19.527618    2.923616
   142.25   -20.25    1990    0.031421   10.062657   14.855528    2.373380
   142.25   -20.25    1991    0.035647    9.755707   11.701629    0.950967
   142.25   -20.25    1992    0.038979   11.141301   14.275255    1.262512
   142.25   -20.25    1993    0.040238   10.835157   16.501334    4.503075
   142.25   -20.25    1994    0.034848   10.653073   16.612331    3.036138
   142.25   -20.25    1995    0.038131   10.631141   13.353916    0.581840
   142.25   -20.25    1996    0.037757   11.108314   15.366285    1.211026
   142.25   -20.25    1997    0.035785    8.690378   11.548713    1.735410
   142.25   -20.25    1998    0.038679   11.325307   14.288285    1.054307
   142.25   -20.25    1999    0.036832    9.630903   13.312065    1.316584
   142.25   -20.25    2000    0.036911    9.319550   12.237122    2.522316
   142.25   -20.25    2001    0.035079    9.634307   10.584485    0.323552
   142.25   -20.25    2002    0.030849    9.200486    9.738663    0.219169
   142.25   -20.25    2003    0.037296   10.568881   12.597248    0.879698
   142.25   -20.25    2004    0.033890    9.092657   11.906335    1.010598
   142.25   -20.25    2005    0.035661   11.179880   12.161356    0.240023
   142.25   -20.25    2006    0.030161    8.602521   10.937863    1.007846
   142.25   -20.25    2007    0.031444    8.890451   10.913772    0.727693
   142.25   -20.25    2008    0.033325    9.750550   10.815223    0.324342
   142.25   -20.25    2009    0.033179    8.477494    8.990344    0.446578
   142.25   -20.25    2010    0.039982    8.812135   12.323383    1.342767
