      Lon      Lat    Year         NH3          NO         N2O          N2
    41.75    60.75    1980    0.024467    6.772462    6.374185    0.006801
    41.75    60.75    1981    0.039887   10.129203    8.886187    0.001392
    41.75    60.75    1982    0.024031    6.676911    5.974368    0.000120
    41.75    60.75    1983    0.029180    8.159752    7.830510    0.026816
    41.75    60.75    1984    0.027387    7.152485    6.723092    0.002357
    41.75    60.75    1985    0.026050    7.020920    6.568117    0.004181
    41.75    60.75    1986    0.021908    5.893578    5.566729    0.016160
    41.75    60.75    1987    0.022708    6.373781    6.128440    0.004540
    41.75    60.75    1988    0.036006   10.003325    9.409088    0.000000
    41.75    60.75    1989    0.036862    9.795814    9.182087    0.021812
    41.75    60.75    1990    0.024891    6.752070    6.345262    0.003150
    41.75    60.75    1991    0.027880    7.827437    7.205899    0.000000
    41.75    60.75    1992    0.022231    5.793037    4.746099    0.000000
    41.75    60.75    1993    0.021027    5.030987    4.770083    0.001796
    41.75    60.75    1994    0.020668    4.976839    4.546732    0.030496
    41.75    60.75    1995    0.030586    8.533239    8.018152    0.000122
    41.75    60.75    1996    0.022014    6.032882    5.567879    0.000298
    41.75    60.75    1997    0.023219    6.066735    5.108945    0.000340
    41.75    60.75    1998    0.026880    6.344929    6.089067    0.032502
    41.75    60.75    1999    0.033954    9.035090    7.946636    0.000006
    41.75    60.75    2000    0.030297    7.888287    7.150790    0.000000
    41.75    60.75    2001    0.026222    6.434753    5.238044    0.000035
    41.75    60.75    2002    0.024980    6.535525    5.634275    0.001176
    41.75    60.75    2003    0.025618    6.184947    5.424285    0.048859
    41.75    60.75    2004    0.025421    6.869512    6.212998    0.001941
    41.75    60.75    2005    0.030066    8.061204    7.099259    0.000000
    41.75    60.75    2006    0.025739    6.341286    5.594008    0.008830
    41.75    60.75    2007    0.025058    6.424736    6.241447    0.080616
    41.75    60.75    2008    0.019266    4.996683    4.743065    0.015171
    41.75    60.75    2009    0.021386    5.470309    4.979973    0.000876
    41.75    60.75    2010    0.032175    7.517341    6.388274    0.001791
   142.25   -20.25    1980    0.033350    9.706641    9.957146    0.080760
   142.25   -20.25    1981    0.034394    8.902104    9.903424    0.326254
   142.25   -20.25    1982    0.030062    9.430196    9.703095    0.093166
   142.25   -20.25    1983    0.028898    9.168664   10.530649    0.525269
   142.25   -20.25    1984    0.028796    8.030113    8.540888    0.159194
   142.25   -20.25    1985    0.032167   10.117958   11.557455    0.325323
   142.25   -20.25    1986    0.034540   10.506385   10.789721    0.035824
   142.25   -20.25    1987    0.031814    9.356853    9.827393    0.100371
   142.25   -20.25    1988    0.031029    9.672859   10.636307    0.226252
   142.25   -20.25    1989    0.030931    8.626628    9.051309    0.125524
   142.25   -20.25    1990    0.026456    9.000074   11.049430    1.183784
   142.25   -20.25    1991    0.030497    8.613408    8.972216    0.222151
   142.25   -20.25    1992    0.033513    9.852294   10.690548    0.193831
   142.25   -20.25    1993    0.033532    9.172761   10.135068    0.233914
   142.25   -20.25    1994    0.030308    9.398854    9.673238    0.098005
   142.25   -20.25    1995    0.032506    9.282251   10.025567    0.165751
   142.25   -20.25    1996    0.032478    9.431810   10.057513    0.170542
   142.25   -20.25    1997    0.030165    7.539052    8.019698    0.183255
   142.25   -20.25    1998    0.033486   10.101623   11.075020    0.213664
   142.25   -20.25    1999    0.031765    8.425367    9.039606    0.176814
   142.25   -20.25    2000    0.030947    7.728551    8.704271    0.355506
   142.25   -20.25    2001    0.030483    8.798075    9.475063    0.208840
   142.25   -20.25    2002    0.028355    8.370310    8.883867    0.218372
   142.25   -20.25    2003    0.033425    9.398806   10.126932    0.207505
   142.25   -20.25    2004    0.030149    7.810477    8.218771    0.225729
   142.25   -20.25    2005    0.033352   10.714646   11.486584    0.188599
   142.25   -20.25    2006    0.026480    7.694507    8.455471    0.268551
   142.25   -20.25    2007    0.027755    8.204959    9.897001    0.567151
   142.25   -20.25    2008    0.029438    8.900627    9.513212    0.205586
   142.25   -20.25    2009    0.029871    7.479017    7.872523    0.291441
   142.25   -20.25    2010    0.035884    7.587183    8.933310    0.495996
