      Lon      Lat    Year        NH4        NO3        NO2         NO        N2O         N2
    41.75    60.75    1980   103.7407    16.1036     0.0000     0.0144     0.0037     0.0000
    41.75    60.75    1981    97.1282    11.8095     0.0000     0.0197     0.0098     0.0000
    41.75    60.75    1982    92.3568     0.0082     0.0000     0.0207     0.0106     0.0000
    41.75    60.75    1983    88.9556     8.0625     0.0000     0.0164     0.0075     0.0000
    41.75    60.75    1984    92.4839     7.2917     0.0000     0.0255     0.0173     0.0002
    41.75    60.75    1985    88.3073    13.6504     0.0000     0.0323     0.0234     0.0000
    41.75    60.75    1986    94.2735     6.6062     0.0000     0.0385     0.0275     0.0001
    41.75    60.75    1987    96.5825    11.5008     0.0000     0.0388     0.0305     0.0000
    41.75    60.75    1988    88.6714    14.9048     0.0000     0.0330     0.0184     0.0000
    41.75    60.75    1989    81.9389     6.5987     0.0000     0.0158     0.0080     0.0002
    41.75    60.75    1990    76.8976     8.6000     0.0000     0.0100     0.0021     0.0000
    41.75    60.75    1991    74.0359     9.9799     0.0000     0.0273     0.0199     0.0000
    41.75    60.75    1992    76.1581    25.6291     0.0156     0.0394     0.0276     0.0000
    41.75    60.75    1993    76.1039     7.3342     0.0000     0.0099     0.0023     0.0000
    41.75    60.75    1994    78.2282    12.2374     0.0000     0.0175     0.0100     0.0000
    41.75    60.75    1995    82.3817    11.8477     0.0000     0.0212     0.0139     0.0000
    41.75    60.75    1996    81.5188     8.0067     0.0000     0.0476     0.0415     0.0000
    41.75    60.75    1997    85.3275    15.9807     0.0000     0.0127     0.0040     0.0000
    41.75    60.75    1998    86.5797     5.8430     0.0000     0.0175     0.0095     0.0000
    41.75    60.75    1999    83.7773    15.1191     0.0000     0.0177     0.0096     0.0000
    41.75    60.75    2000    80.2179     9.3560     0.0000     0.0302     0.0227     0.0000
    41.75    60.75    2001    76.7924    17.5663     0.0000     0.0341     0.0274     0.0000
    41.75    60.75    2002    74.9270    20.6635     0.0000     0.0152     0.0078     0.0000
    41.75    60.75    2003    77.0107     8.9606     0.0000     0.0145     0.0066     0.0000
    41.75    60.75    2004    71.5814     7.7531     0.0000     0.0165     0.0095     0.0000
    41.75    60.75    2005    69.6728    15.5879     0.0000     0.0297     0.0232     0.0000
    41.75    60.75    2006    69.2223     7.1217     0.0000     0.0264     0.0179     0.0000
    41.75    60.75    2007    64.2710    10.2606     0.0000     0.0106     0.0042     0.0000
    41.75    60.75    2008    60.8166     4.8180     0.0000     0.0242     0.0182     0.0000
    41.75    60.75    2009    62.1998     7.8174     0.0000     0.0316     0.0258     0.0000
    41.75    60.75    2010    67.2928    10.1289     0.0000     0.0412     0.0365     0.0000
   142.25   -20.25    1980    10.5786    33.1786     0.8236     0.0590     0.0598     0.0001
   142.25   -20.25    1981     9.6449    24.1656     0.8045     0.0693     0.0704     0.0001
   142.25   -20.25    1982     8.2163    30.9169     0.7609     0.0574     0.0580     0.0000
   142.25   -20.25    1983    11.5928    30.6117     0.8950     0.0779     0.0789     0.0001
   142.25   -20.25    1984    10.4449    25.9295     0.7474     0.0787     0.0796     0.0001
   142.25   -20.25    1985    10.5957    29.9100     1.6995     0.0905     0.0967     0.0005
   142.25   -20.25    1986    10.7208    41.2615     1.3554     0.0838     0.0861     0.0002
   142.25   -20.25    1987     8.8000    30.0154     1.9873     0.0312     0.0403     0.0016
   142.25   -20.25    1988    11.3960    30.8746     2.5889     0.0318     0.0505     0.0094
   142.25   -20.25    1989    12.5292    23.1818     0.8494     0.1131     0.1145     0.0001
   142.25   -20.25    1990     8.0335    26.7389     0.8821     0.0609     0.0623     0.0001
   142.25   -20.25    1991     7.8035    29.0145     0.5408     0.0441     0.0443     0.0000
   142.25   -20.25    1992    11.0155    34.0417     1.8388     0.0642     0.0708     0.0007
   142.25   -20.25    1993    12.5188    28.6824     1.6598     0.0862     0.0942     0.0009
   142.25   -20.25    1994     9.0573    36.0196     0.4394     0.0380     0.0381     0.0000
   142.25   -20.25    1995     9.4117    30.0485     2.0584     0.0439     0.0541     0.0013
   142.25   -20.25    1996     9.9144    28.7865     1.3564     0.1006     0.1044     0.0003
   142.25   -20.25    1997    11.7902    18.9492     2.0270     0.0191     0.0360     0.0130
   142.25   -20.25    1998     8.7182    21.2883     1.7416     0.0469     0.0540     0.0075
   142.25   -20.25    1999    10.9999    20.6624     1.9971     0.0285     0.0435     0.0079
   142.25   -20.25    2000    13.3893    14.2670     2.3644     0.0129     0.0470     0.0406
   142.25   -20.25    2001     9.5483    24.3582     2.0031     0.0697     0.0811     0.0012
   142.25   -20.25    2002     9.4085    33.7447     0.5271     0.0342     0.0344     0.0000
   142.25   -20.25    2003    10.8013    31.9922     2.5325     0.0309     0.0467     0.0056
   142.25   -20.25    2004    13.2367    29.0209     2.6603     0.0410     0.0613     0.0148
   142.25   -20.25    2005     8.2274    37.7485     1.5572     0.0779     0.0815     0.0002
   142.25   -20.25    2006     8.8192    28.4998     0.6462     0.0421     0.0426     0.0000
   142.25   -20.25    2007    10.5179    21.0082     3.0397     0.0227     0.0650     0.0157
   142.25   -20.25    2008     8.7475    29.0760     1.4045     0.0564     0.0597     0.0003
   142.25   -20.25    2009    12.2827    26.9567     1.5826     0.0412     0.0469     0.0018
   142.25   -20.25    2010    15.3739    13.9998     2.6279     0.0100     0.0610     0.0512
