      Lon      Lat    Year         NH3          NO         N2O          N2
    41.75    60.75    1980    0.024980    6.922478    6.514583    0.008487
    41.75    60.75    1981    0.040705   10.342021    9.075466    0.001397
    41.75    60.75    1982    0.024450    6.805413    6.092096    0.000065
    41.75    60.75    1983    0.029742    8.318718    7.986387    0.027302
    41.75    60.75    1984    0.027941    7.300404    6.868965    0.002220
    41.75    60.75    1985    0.026577    7.141303    6.671960    0.004498
    41.75    60.75    1986    0.022355    6.001964    5.667801    0.015767
    41.75    60.75    1987    0.023203    6.502360    6.247068    0.004174
    41.75    60.75    1988    0.036819   10.264487    9.663360    0.000000
    41.75    60.75    1989    0.037687   10.041630    9.430267    0.022005
    41.75    60.75    1990    0.025434    6.887948    6.465024    0.003050
    41.75    60.75    1991    0.028667    8.103758    7.486660    0.000000
    41.75    60.75    1992    0.022919    5.976848    4.896827    0.000007
    41.75    60.75    1993    0.021690    5.202061    4.931175    0.001804
    41.75    60.75    1994    0.021293    5.126473    4.679794    0.030724
    41.75    60.75    1995    0.031345    8.738014    8.209288    0.000080
    41.75    60.75    1996    0.022379    6.112415    5.629612    0.000181
    41.75    60.75    1997    0.023726    6.205288    5.231889    0.000381
    41.75    60.75    1998    0.027480    6.493031    6.229575    0.032731
    41.75    60.75    1999    0.034823    9.325840    8.246224    0.000006
    41.75    60.75    2000    0.031031    8.076159    7.339938    0.000000
    41.75    60.75    2001    0.026868    6.589685    5.360292    0.000057
    41.75    60.75    2002    0.025604    6.693751    5.766488    0.001358
    41.75    60.75    2003    0.026149    6.286350    5.500003    0.041878
    41.75    60.75    2004    0.025893    7.001759    6.332465    0.002140
    41.75    60.75    2005    0.030756    8.252586    7.271608    0.000000
    41.75    60.75    2006    0.026320    6.490812    5.729043    0.009132
    41.75    60.75    2007    0.025817    6.612030    6.408003    0.080196
    41.75    60.75    2008    0.019877    5.155041    4.885067    0.015138
    41.75    60.75    2009    0.022117    5.655181    5.142314    0.000996
    41.75    60.75    2010    0.033185    7.742774    6.578490    0.001803
   142.25   -20.25    1980    0.033216    9.689707    9.965765    0.092225
   142.25   -20.25    1981    0.034361    8.894680   10.009940    0.367553
   142.25   -20.25    1982    0.029911    9.400525    9.694943    0.100890
   142.25   -20.25    1983    0.028793    9.150371   10.668243    0.582815
   142.25   -20.25    1984    0.028749    8.015938    8.581700    0.181816
   142.25   -20.25    1985    0.032218   10.128063   11.698338    0.355220
   142.25   -20.25    1986    0.034508   10.480931   10.780489    0.037370
   142.25   -20.25    1987    0.031781    9.360291    9.858861    0.106085
   142.25   -20.25    1988    0.031065    9.668724   10.691740    0.236240
   142.25   -20.25    1989    0.030936    8.634182    9.108992    0.139686
   142.25   -20.25    1990    0.026341    8.970984   11.272355    1.334807
   142.25   -20.25    1991    0.030517    8.614962    8.998857    0.242510
   142.25   -20.25    1992    0.033337    9.830102   10.715394    0.205642
   142.25   -20.25    1993    0.033432    9.174600   10.220444    0.253836
   142.25   -20.25    1994    0.030264    9.367876    9.665295    0.106513
   142.25   -20.25    1995    0.032477    9.296358   10.091784    0.177550
   142.25   -20.25    1996    0.032309    9.398677   10.068129    0.183038
   142.25   -20.25    1997    0.030056    7.517071    8.036251    0.198917
   142.25   -20.25    1998    0.033385   10.082686   11.153991    0.234692
   142.25   -20.25    1999    0.031533    8.379543    9.044703    0.191983
   142.25   -20.25    2000    0.030638    7.685926    8.813108    0.406561
   142.25   -20.25    2001    0.030314    8.768173    9.505475    0.226969
   142.25   -20.25    2002    0.028309    8.353514    8.905900    0.236823
   142.25   -20.25    2003    0.033531    9.425654   10.208402    0.223681
   142.25   -20.25    2004    0.030104    7.775404    8.217877    0.245927
   142.25   -20.25    2005    0.033660   10.763972   11.565624    0.196804
   142.25   -20.25    2006    0.026358    7.667164    8.512089    0.295625
   142.25   -20.25    2007    0.027739    8.208874   10.145428    0.645274
   142.25   -20.25    2008    0.029319    8.880500    9.528200    0.219552
   142.25   -20.25    2009    0.029881    7.463966    7.882889    0.317068
   142.25   -20.25    2010    0.035826    7.582520    9.067973    0.549880
