      Lon      Lat    Year        NH4        NO3        NO2         NO        N2O         N2
    41.75    60.75    1980   104.3872    16.7774     0.0000     0.0145     0.0037     0.0000
    41.75    60.75    1981    95.6189    11.1721     0.0000     0.0193     0.0095     0.0000
    41.75    60.75    1982    88.5209     0.0078     0.0000     0.0198     0.0101     0.0000
    41.75    60.75    1983    86.2528     7.4778     0.0000     0.0159     0.0073     0.0000
    41.75    60.75    1984    92.8501     6.6322     0.0000     0.0252     0.0170     0.0001
    41.75    60.75    1985    87.4709    13.1635     0.0000     0.0320     0.0232     0.0000
    41.75    60.75    1986    94.5826     6.4516     0.0000     0.0386     0.0276     0.0001
    41.75    60.75    1987    98.0901    11.6503     0.0000     0.0394     0.0309     0.0000
    41.75    60.75    1988    91.0712    13.2738     0.0000     0.0337     0.0187     0.0000
    41.75    60.75    1989    87.6889     5.9877     0.0000     0.0167     0.0082     0.0001
    41.75    60.75    1990    82.0041     8.5759     0.0000     0.0107     0.0023     0.0000
    41.75    60.75    1991    78.3091     9.4783     0.0000     0.0288     0.0210     0.0000
    41.75    60.75    1992    76.0130    23.2803     0.0137     0.0397     0.0280     0.0000
    41.75    60.75    1993    76.8693     7.1233     0.0000     0.0100     0.0024     0.0000
    41.75    60.75    1994    77.8637    11.8637     0.0000     0.0174     0.0100     0.0000
    41.75    60.75    1995    83.8286    10.8912     0.0000     0.0213     0.0139     0.0000
    41.75    60.75    1996    80.0371     7.6170     0.0000     0.0468     0.0408     0.0000
    41.75    60.75    1997    82.7718    14.3228     0.0000     0.0123     0.0039     0.0000
    41.75    60.75    1998    84.3547     5.5488     0.0000     0.0171     0.0093     0.0000
    41.75    60.75    1999    81.2989    13.7620     0.0000     0.0169     0.0091     0.0000
    41.75    60.75    2000    79.0743     9.6886     0.0000     0.0297     0.0224     0.0000
    41.75    60.75    2001    74.4069    15.5163     0.0000     0.0332     0.0267     0.0000
    41.75    60.75    2002    71.5011    18.7743     0.0000     0.0144     0.0074     0.0000
    41.75    60.75    2003    71.6862     7.7713     0.0000     0.0135     0.0061     0.0000
    41.75    60.75    2004    64.7191     6.9984     0.0000     0.0149     0.0086     0.0000
    41.75    60.75    2005    63.4225    13.6292     0.0000     0.0272     0.0212     0.0000
    41.75    60.75    2006    63.2788     6.4277     0.0000     0.0241     0.0163     0.0000
    41.75    60.75    2007    59.5316     9.4037     0.0000     0.0098     0.0039     0.0000
    41.75    60.75    2008    56.6688     4.6060     0.0000     0.0227     0.0171     0.0000
    41.75    60.75    2009    57.0627     7.0037     0.0000     0.0291     0.0237     0.0000
    41.75    60.75    2010    63.3490     9.1642     0.0000     0.0384     0.0340     0.0000
   142.25   -20.25    1980    13.5453    52.8617     0.9793     0.0765     0.0772     0.0001
   142.25   -20.25    1981    12.9805    45.5459     1.0148     0.0880     0.0888     0.0001
   142.25   -20.25    1982    15.1196    50.6993     0.8680     0.0694     0.0699     0.0000
   142.25   -20.25    1983    14.3851    50.4609     1.1432     0.0890     0.0899     0.0001
   142.25   -20.25    1984    15.1915    43.0503     0.7697     0.0898     0.0904     0.0000
   142.25   -20.25    1985    14.1097    52.5182     2.4444     0.1074     0.1134     0.0005
   142.25   -20.25    1986    13.7711    63.2700     1.5799     0.0948     0.0967     0.0001
   142.25   -20.25    1987    13.5145    49.8376     2.5552     0.0559     0.0634     0.0014
   142.25   -20.25    1988    14.4273    50.2593     5.2537     0.0421     0.0952     0.0147
   142.25   -20.25    1989    17.0668    41.6421     1.3397     0.1495     0.1513     0.0002
   142.25   -20.25    1990    12.5833    39.5075     0.8224     0.0714     0.0722     0.0001
   142.25   -20.25    1991    13.8909    45.1713     0.6670     0.0557     0.0560     0.0000
   142.25   -20.25    1992    14.4365    51.8003     2.5788     0.0847     0.0913     0.0007
   142.25   -20.25    1993    15.6641    47.8485     2.5043     0.1075     0.1163     0.0009
   142.25   -20.25    1994    15.0050    51.5983     0.6068     0.0509     0.0511     0.0000
   142.25   -20.25    1995    13.9750    47.5709     2.5102     0.0624     0.0703     0.0011
   142.25   -20.25    1996    12.9787    45.9396     1.6543     0.1043     0.1073     0.0002
   142.25   -20.25    1997    17.6293    31.4033     3.9941     0.0326     0.0794     0.0256
   142.25   -20.25    1998    11.8377    34.7767     2.2839     0.0585     0.0648     0.0082
   142.25   -20.25    1999    14.9712    35.5989     3.4302     0.0452     0.0705     0.0083
   142.25   -20.25    2000    16.9919    23.9089     4.0612     0.0178     0.0794     0.0769
   142.25   -20.25    2001    13.2615    35.0526     2.0111     0.0754     0.0841     0.0011
   142.25   -20.25    2002    14.6938    48.2843     0.7512     0.0463     0.0466     0.0000
   142.25   -20.25    2003    15.2958    46.2786     3.4994     0.0672     0.0841     0.0044
   142.25   -20.25    2004    15.9526    37.3058     3.2775     0.0545     0.0772     0.0109
   142.25   -20.25    2005    12.7213    49.2683     1.4312     0.0893     0.0919     0.0002
   142.25   -20.25    2006    14.6387    39.6905     0.6760     0.0508     0.0511     0.0000
   142.25   -20.25    2007    13.4532    30.2559     2.9736     0.0409     0.0649     0.0091
   142.25   -20.25    2008    13.4327    39.9984     1.4424     0.0518     0.0548     0.0003
   142.25   -20.25    2009    16.0264    40.7681     2.4867     0.0635     0.0716     0.0040
   142.25   -20.25    2010    17.4204    19.3409     3.6463     0.0126     0.0825     0.0708
