      Lon      Lat    Year        NH4        NO3        NO2         NO        N2O         N2
    41.75    60.75    1980    85.2924    14.7442     0.0000     0.0119     0.0031     0.0000
    41.75    60.75    1981    82.9168    11.2168     0.0000     0.0170     0.0085     0.0000
    41.75    60.75    1982    74.2070     0.0066     0.0000     0.0167     0.0086     0.0000
    41.75    60.75    1983    71.4702     7.4396     0.0000     0.0132     0.0060     0.0000
    41.75    60.75    1984    76.9121     6.9687     0.0000     0.0213     0.0146     0.0002
    41.75    60.75    1985    70.1266    12.3708     0.0000     0.0253     0.0181     0.0000
    41.75    60.75    1986    76.7498     6.3963     0.0000     0.0312     0.0223     0.0001
    41.75    60.75    1987    78.4782    10.9365     0.0000     0.0315     0.0247     0.0000
    41.75    60.75    1988    73.7997    13.0373     0.0000     0.0274     0.0153     0.0000
    41.75    60.75    1989    71.2581     6.1015     0.0000     0.0138     0.0070     0.0002
    41.75    60.75    1990    62.4104     7.9046     0.0000     0.0081     0.0017     0.0000
    41.75    60.75    1991    61.6039     9.2185     0.0000     0.0227     0.0165     0.0000
    41.75    60.75    1992    59.9442    23.4012     0.0159     0.0299     0.0205     0.0000
    41.75    60.75    1993    53.7968     6.3974     0.0000     0.0070     0.0017     0.0000
    41.75    60.75    1994    54.5752    10.2683     0.0000     0.0123     0.0071     0.0000
    41.75    60.75    1995    66.2518    10.1345     0.0000     0.0170     0.0111     0.0000
    41.75    60.75    1996    61.5055     7.1775     0.0000     0.0368     0.0321     0.0000
    41.75    60.75    1997    65.3676    15.0427     0.0000     0.0097     0.0031     0.0000
    41.75    60.75    1998    64.9272     5.0776     0.0000     0.0132     0.0072     0.0000
    41.75    60.75    1999    67.7387    13.7004     0.0000     0.0144     0.0079     0.0000
    41.75    60.75    2000    65.0054     8.5764     0.0000     0.0244     0.0184     0.0000
    41.75    60.75    2001    60.6437    15.6565     0.0000     0.0267     0.0213     0.0000
    41.75    60.75    2002    58.5496    18.7951     0.0000     0.0116     0.0058     0.0000
    41.75    60.75    2003    59.5203     7.8580     0.0000     0.0112     0.0051     0.0000
    41.75    60.75    2004    52.4479     6.4957     0.0000     0.0122     0.0071     0.0000
    41.75    60.75    2005    54.6408    13.6747     0.0000     0.0231     0.0180     0.0000
    41.75    60.75    2006    53.5537     6.4268     0.0000     0.0205     0.0139     0.0000
    41.75    60.75    2007    46.5971     8.2543     0.0000     0.0076     0.0030     0.0000
    41.75    60.75    2008    39.9029     3.9090     0.0000     0.0160     0.0120     0.0000
    41.75    60.75    2009    40.4328     5.9912     0.0000     0.0204     0.0166     0.0000
    41.75    60.75    2010    51.5823     8.7222     0.0000     0.0315     0.0279     0.0000
   142.25   -20.25    1980    13.8628    42.3162     1.0109     0.0581     0.0591     0.0001
   142.25   -20.25    1981    11.9111    30.1201     0.9477     0.0683     0.0697     0.0001
   142.25   -20.25    1982    10.0420    35.7306     0.8606     0.0564     0.0571     0.0001
   142.25   -20.25    1983    12.9125    34.0840     1.0059     0.0770     0.0783     0.0001
   142.25   -20.25    1984    12.7054    31.5851     0.9043     0.0778     0.0789     0.0001
   142.25   -20.25    1985    11.8701    35.1899     1.9781     0.0906     0.0984     0.0006
   142.25   -20.25    1986    14.8780    50.3475     1.5808     0.0832     0.0860     0.0002
   142.25   -20.25    1987    10.2359    34.4830     2.2490     0.0324     0.0436     0.0020
   142.25   -20.25    1988    14.0725    39.0066     3.2277     0.0434     0.0673     0.0116
   142.25   -20.25    1989    13.0205    26.2526     0.9558     0.1106     0.1124     0.0002
   142.25   -20.25    1990     9.2111    29.9634     0.9949     0.0599     0.0615     0.0001
   142.25   -20.25    1991     8.6358    32.6522     0.6079     0.0433     0.0436     0.0000
   142.25   -20.25    1992    13.7261    41.0458     2.1167     0.0655     0.0735     0.0008
   142.25   -20.25    1993    14.6441    35.2870     1.9251     0.0874     0.0971     0.0011
   142.25   -20.25    1994     9.5619    40.3780     0.4992     0.0368     0.0369     0.0000
   142.25   -20.25    1995    12.2004    36.9729     2.3786     0.0455     0.0579     0.0016
   142.25   -20.25    1996    10.2960    32.7538     1.5521     0.1001     0.1048     0.0004
   142.25   -20.25    1997    11.9005    21.6719     2.4337     0.0208     0.0429     0.0168
   142.25   -20.25    1998    10.3293    26.2495     2.2102     0.0503     0.0599     0.0100
   142.25   -20.25    1999    11.0661    23.2395     2.3269     0.0290     0.0482     0.0103
   142.25   -20.25    2000    12.9466    15.3779     2.7466     0.0128     0.0569     0.0531
   142.25   -20.25    2001     9.3898    27.9507     2.3828     0.0685     0.0833     0.0016
   142.25   -20.25    2002     9.7507    38.5542     0.5993     0.0331     0.0333     0.0000
   142.25   -20.25    2003    11.9769    37.7758     3.0314     0.0338     0.0543     0.0072
   142.25   -20.25    2004    13.2131    32.9038     3.1659     0.0411     0.0678     0.0196
   142.25   -20.25    2005     9.1428    44.3575     1.8478     0.0765     0.0811     0.0003
   142.25   -20.25    2006     8.7339    31.6776     0.7494     0.0411     0.0418     0.0001
   142.25   -20.25    2007    10.3251    23.1264     3.4759     0.0224     0.0742     0.0191
   142.25   -20.25    2008     8.6528    33.1134     1.6337     0.0567     0.0607     0.0004
   142.25   -20.25    2009    12.7228    31.8248     1.9220     0.0419     0.0497     0.0023
   142.25   -20.25    2010    14.9283    15.5199     3.1411     0.0099     0.0790     0.0698
