      Lon      Lat    Year         NH3          NO         N2O          N2
    41.75    60.75    1980    0.021343    5.886931    5.494824    0.005519
    41.75    60.75    1981    0.034046    8.493461    7.306851    0.002011
    41.75    60.75    1982    0.020469    5.658690    4.952469    0.000095
    41.75    60.75    1983    0.024764    6.933444    6.566342    0.012141
    41.75    60.75    1984    0.023614    6.205303    5.807485    0.002653
    41.75    60.75    1985    0.021934    5.768084    5.302875    0.004238
    41.75    60.75    1986    0.018752    5.074936    4.765590    0.019925
    41.75    60.75    1987    0.019600    5.428320    5.181535    0.006849
    41.75    60.75    1988    0.030935    8.606363    8.031563    0.000000
    41.75    60.75    1989    0.032838    8.791688    8.255401    0.022077
    41.75    60.75    1990    0.022017    5.862835    5.440823    0.003769
    41.75    60.75    1991    0.024207    6.806013    6.231848    0.000000
    41.75    60.75    1992    0.018316    4.687686    3.687321    0.000000
    41.75    60.75    1993    0.017674    4.515353    4.266645    0.001774
    41.75    60.75    1994    0.015687    3.693417    3.359120    0.041000
    41.75    60.75    1995    0.024772    6.929518    6.506535    0.000000
    41.75    60.75    1996    0.018025    4.815000    4.349283    0.000052
    41.75    60.75    1997    0.018323    4.750861    3.904150    0.000591
    41.75    60.75    1998    0.021757    5.202869    5.000980    0.036303
    41.75    60.75    1999    0.027894    7.366616    6.433943    0.000006
    41.75    60.75    2000    0.025739    6.782608    6.097475    0.000000
    41.75    60.75    2001    0.021270    5.144139    4.036045    0.000036
    41.75    60.75    2002    0.020425    5.201833    4.342728    0.001569
    41.75    60.75    2003    0.020565    4.881836    4.184251    0.037527
    41.75    60.75    2004    0.019993    5.231673    4.629034    0.002201
    41.75    60.75    2005    0.023793    6.248175    5.379464    0.000000
    41.75    60.75    2006    0.020959    5.080036    4.371786    0.005986
    41.75    60.75    2007    0.020068    5.191659    5.108627    0.090163
    41.75    60.75    2008    0.014892    3.994556    3.755326    0.012576
    41.75    60.75    2009    0.015453    3.792378    3.368050    0.000946
    41.75    60.75    2010    0.024581    5.771804    4.831987    0.002439
   142.25   -20.25    1980    0.033060    9.748170   10.824840    0.316316
   142.25   -20.25    1981    0.035400    9.160222   11.909036    1.141293
   142.25   -20.25    1982    0.029720    9.393184    9.921417    0.168535
   142.25   -20.25    1983    0.028844    9.160847   11.191637    0.781603
   142.25   -20.25    1984    0.029276    8.163111    9.774460    0.559307
   142.25   -20.25    1985    0.032121   10.161266   12.260855    0.479775
   142.25   -20.25    1986    0.034420   10.397836   10.767455    0.044778
   142.25   -20.25    1987    0.032589    9.648245   11.015195    0.320299
   142.25   -20.25    1988    0.031253    9.700209   10.904702    0.263429
   142.25   -20.25    1989    0.032226    8.964225   10.558078    0.498662
   142.25   -20.25    1990    0.026247    8.901110   12.011387    1.857504
   142.25   -20.25    1991    0.030509    8.598748    9.034021    0.280875
   142.25   -20.25    1992    0.033034    9.797699   10.865134    0.245669
   142.25   -20.25    1993    0.033960    9.356240   11.317332    0.869576
   142.25   -20.25    1994    0.031019    9.505771   10.793808    0.547131
   142.25   -20.25    1995    0.032622    9.368827   10.373634    0.219249
   142.25   -20.25    1996    0.032024    9.392698   10.236565    0.231702
   142.25   -20.25    1997    0.029821    7.442596    8.069412    0.241386
   142.25   -20.25    1998    0.032847    9.939539   11.374933    0.307339
   142.25   -20.25    1999    0.030525    8.166176    9.019673    0.261841
   142.25   -20.25    2000    0.029163    7.464037    9.232241    0.607525
   142.25   -20.25    2001    0.029528    8.539018    9.467148    0.280123
   142.25   -20.25    2002    0.027656    8.158034    8.818112    0.294622
   142.25   -20.25    2003    0.033741    9.459409   10.414369    0.275392
   142.25   -20.25    2004    0.029634    7.551416    8.100618    0.310988
   142.25   -20.25    2005    0.033368   10.627164   11.598650    0.237779
   142.25   -20.25    2006    0.025738    7.494490    8.644851    0.393651
   142.25   -20.25    2007    0.027438    8.100116   11.041998    0.961724
   142.25   -20.25    2008    0.029742    8.925951    9.694313    0.257751
   142.25   -20.25    2009    0.029188    7.225537    7.675466    0.387099
   142.25   -20.25    2010    0.034440    7.341696    9.439553    0.778447
