      Lon      Lat    Year    TeWW    TeSW   TeWWi   TeSWi
    41.75    60.75    1980   0.959   0.957   0.959   0.957
    41.75    60.75    1981   0.923   0.920   0.925   0.926
    41.75    60.75    1982   0.961   0.957   0.964   0.960
    41.75    60.75    1983   0.953   0.952   0.953   0.952
    41.75    60.75    1984   0.938   0.941   0.938   0.941
    41.75    60.75    1985   0.966   0.966   0.966   0.966
    41.75    60.75    1986   0.955   0.954   0.955   0.954
    41.75    60.75    1987   0.962   0.961   0.962   0.961
    41.75    60.75    1988   0.933   0.934   0.933   0.934
    41.75    60.75    1989   0.913   0.917   0.913   0.917
    41.75    60.75    1990   0.964   0.955   0.964   0.955
    41.75    60.75    1991   0.949   0.951   0.952   0.953
    41.75    60.75    1992   0.959   0.958   0.963   0.962
    41.75    60.75    1993   0.966   0.958   0.966   0.958
    41.75    60.75    1994   0.959   0.957   0.962   0.961
    41.75    60.75    1995   0.908   0.929   0.908   0.929
    41.75    60.75    1996   0.965   0.964   0.965   0.965
    41.75    60.75    1997   0.938   0.940   0.951   0.949
    41.75    60.75    1998   0.954   0.954   0.954   0.954
    41.75    60.75    1999   0.894   0.918   0.907   0.927
    41.75    60.75    2000   0.946   0.951   0.951   0.954
    41.75    60.75    2001   0.945   0.948   0.960   0.959
    41.75    60.75    2002   0.956   0.957   0.960   0.959
    41.75    60.75    2003   0.956   0.955   0.962   0.959
    41.75    60.75    2004   0.964   0.964   0.966   0.966
    41.75    60.75    2005   0.955   0.955   0.958   0.957
    41.75    60.75    2006   0.961   0.960   0.963   0.962
    41.75    60.75    2007   0.966   0.964   0.966   0.965
    41.75    60.75    2008   0.967   0.954   0.967   0.954
    41.75    60.75    2009   0.962   0.961   0.963   0.962
    41.75    60.75    2010   0.902   0.860   0.918   0.907
   142.25   -20.25    1980   0.476   0.467   0.695   0.622
   142.25   -20.25    1981   0.527   0.464   0.659   0.587
   142.25   -20.25    1982   0.507   0.466   0.692   0.620
   142.25   -20.25    1983   0.488   0.461   0.702   0.616
   142.25   -20.25    1984   0.524   0.458   0.746   0.593
   142.25   -20.25    1985   0.483   0.457   0.846   0.637
   142.25   -20.25    1986   0.484   0.443   0.720   0.629
   142.25   -20.25    1987   0.495   0.457   0.707   0.636
   142.25   -20.25    1988   0.468   0.460   0.769   0.679
   142.25   -20.25    1989   0.505   0.476   0.663   0.599
   142.25   -20.25    1990   0.480   0.469   0.782   0.671
   142.25   -20.25    1991   0.526   0.457   0.892   0.702
   142.25   -20.25    1992   0.474   0.454   0.756   0.661
   142.25   -20.25    1993   0.518   0.473   0.692   0.607
   142.25   -20.25    1994   0.471   0.450   0.678   0.603
   142.25   -20.25    1995   0.472   0.458   0.817   0.713
   142.25   -20.25    1996   0.486   0.472   0.750   0.655
   142.25   -20.25    1997   0.519   0.471   0.831   0.720
   142.25   -20.25    1998   0.532   0.504   0.843   0.740
   142.25   -20.25    1999   0.552   0.507   0.882   0.681
   142.25   -20.25    2000   0.554   0.521   0.834   0.704
   142.25   -20.25    2001   0.520   0.499   0.887   0.769
   142.25   -20.25    2002   0.468   0.456   0.907   0.795
   142.25   -20.25    2003   0.538   0.482   0.822   0.718
   142.25   -20.25    2004   0.494   0.473   0.794   0.697
   142.25   -20.25    2005   0.470   0.460   0.905   0.809
   142.25   -20.25    2006   0.549   0.510   0.837   0.749
   142.25   -20.25    2007   0.532   0.493   0.863   0.763
   142.25   -20.25    2008   0.513   0.469   0.951   0.744
   142.25   -20.25    2009   0.625   0.522   0.904   0.824
   142.25   -20.25    2010   0.602   0.527   0.822   0.689
