      Lon      Lat    Year         NH3          NO         N2O          N2
    41.75    60.75    1980    0.022960    6.383343    6.019787    0.010402
    41.75    60.75    1981    0.037401    9.546375    8.413352    0.002725
    41.75    60.75    1982    0.022106    6.181788    5.500682    0.000045
    41.75    60.75    1983    0.026381    7.394730    7.126869    0.031335
    41.75    60.75    1984    0.025187    6.587832    6.231867    0.002340
    41.75    60.75    1985    0.023978    6.346219    5.888636    0.003831
    41.75    60.75    1986    0.020352    5.497725    5.204380    0.018492
    41.75    60.75    1987    0.021209    5.911360    5.675193    0.006888
    41.75    60.75    1988    0.033602    9.400373    8.868923    0.000000
    41.75    60.75    1989    0.035210    9.486543    9.001503    0.020418
    41.75    60.75    1990    0.023980    6.424870    6.013985    0.003207
    41.75    60.75    1991    0.026896    7.682709    7.143646    0.000000
    41.75    60.75    1992    0.020845    5.417319    4.399375    0.000013
    41.75    60.75    1993    0.019559    4.788200    4.538546    0.001797
    41.75    60.75    1994    0.018417    4.397587    4.024940    0.036417
    41.75    60.75    1995    0.027799    7.759773    7.345014    0.000050
    41.75    60.75    1996    0.020053    5.418285    4.958154    0.000191
    41.75    60.75    1997    0.021006    5.517228    4.675908    0.000507
    41.75    60.75    1998    0.024249    5.784331    5.570550    0.034040
    41.75    60.75    1999    0.031275    8.535089    7.657138    0.000006
    41.75    60.75    2000    0.028251    7.429452    6.776812    0.000000
    41.75    60.75    2001    0.024307    5.959313    4.862920    0.000042
    41.75    60.75    2002    0.022852    5.952882    5.112703    0.001349
    41.75    60.75    2003    0.023037    5.531907    4.834104    0.034886
    41.75    60.75    2004    0.022235    5.956751    5.359985    0.002052
    41.75    60.75    2005    0.026628    7.147179    6.317198    0.000000
    41.75    60.75    2006    0.023025    5.684730    5.011685    0.007533
    41.75    60.75    2007    0.022214    5.675537    5.551019    0.084362
    41.75    60.75    2008    0.016760    4.414718    4.175527    0.016326
    41.75    60.75    2009    0.017998    4.545917    4.118022    0.000854
    41.75    60.75    2010    0.028352    6.648106    5.726238    0.002327
   142.25   -20.25    1980    0.037715   10.767559   13.265846    0.654107
   142.25   -20.25    1981    0.039924   10.279170   13.356352    1.525595
   142.25   -20.25    1982    0.034008   10.381468   12.748010    0.676064
   142.25   -20.25    1983    0.034039   10.386877   12.414739    0.750690
   142.25   -20.25    1984    0.032978    8.952457   11.792050    1.133173
   142.25   -20.25    1985    0.035821   11.384755   13.301295    0.421332
   142.25   -20.25    1986    0.038539   11.565988   12.265315    0.079844
   142.25   -20.25    1987    0.037515   10.769189   14.721123    1.099708
   142.25   -20.25    1988    0.034909   10.842153   12.491508    0.302966
   142.25   -20.25    1989    0.036643   10.125758   14.281855    1.289861
   142.25   -20.25    1990    0.030285    9.748700   11.813425    1.210407
   142.25   -20.25    1991    0.033953    9.396928    9.769874    0.232902
   142.25   -20.25    1992    0.037304   10.719237   11.669041    0.227840
   142.25   -20.25    1993    0.038912   10.486950   13.371197    2.171911
   142.25   -20.25    1994    0.033951   10.394179   13.295152    1.461918
   142.25   -20.25    1995    0.036563   10.207532   11.007954    0.168769
   142.25   -20.25    1996    0.036170   10.599047   12.477957    0.517285
   142.25   -20.25    1997    0.033992    8.303811    8.864753    0.198897
   142.25   -20.25    1998    0.036989   10.886487   12.071151    0.263353
   142.25   -20.25    1999    0.035553    9.287545   10.864858    0.545957
   142.25   -20.25    2000    0.034851    8.795634   10.185604    0.461042
   142.25   -20.25    2001    0.033194    9.195902    9.935950    0.227576
   142.25   -20.25    2002    0.030144    8.958098    9.449839    0.204035
   142.25   -20.25    2003    0.035681   10.035300   10.753438    0.196857
   142.25   -20.25    2004    0.031882    8.470321    9.069347    0.281003
   142.25   -20.25    2005    0.034851   10.982311   11.875042    0.202223
   142.25   -20.25    2006    0.028646    8.153005    8.919000    0.251813
   142.25   -20.25    2007    0.030249    8.622548   10.407626    0.641524
   142.25   -20.25    2008    0.032168    9.423385   10.013433    0.186433
   142.25   -20.25    2009    0.031910    8.196401    8.558593    0.258747
   142.25   -20.25    2010    0.036973    8.060974    9.687943    0.572966
