      Lon      Lat    Year     Total
    41.75    60.75    1980     0.262
    41.75    60.75    1981     1.499
    41.75    60.75    1982     2.818
    41.75    60.75    1983     0.060
    41.75    60.75    1984     0.000
    41.75    60.75    1985     0.079
    41.75    60.75    1986     0.393
    41.75    60.75    1987     0.000
    41.75    60.75    1988     0.019
    41.75    60.75    1989     0.000
    41.75    60.75    1990     0.085
    41.75    60.75    1991     0.932
    41.75    60.75    1992     3.910
    41.75    60.75    1993     0.000
    41.75    60.75    1994     2.468
    41.75    60.75    1995     0.419
    41.75    60.75    1996     1.518
    41.75    60.75    1997     3.523
    41.75    60.75    1998     0.000
    41.75    60.75    1999     1.742
    41.75    60.75    2000     1.629
    41.75    60.75    2001     5.199
    41.75    60.75    2002     2.518
    41.75    60.75    2003     2.990
    41.75    60.75    2004     2.721
    41.75    60.75    2005     2.366
    41.75    60.75    2006     2.048
    41.75    60.75    2007     1.296
    41.75    60.75    2008     0.511
    41.75    60.75    2009     1.099
    41.75    60.75    2010     3.320
   142.25   -20.25    1980    27.748
   142.25   -20.25    1981    24.739
   142.25   -20.25    1982    40.260
   142.25   -20.25    1983    41.241
   142.25   -20.25    1984    39.722
   142.25   -20.25    1985    36.837
   142.25   -20.25    1986    33.413
   142.25   -20.25    1987    34.811
   142.25   -20.25    1988    31.659
   142.25   -20.25    1989    33.246
   142.25   -20.25    1990    60.445
   142.25   -20.25    1991    39.775
   142.25   -20.25    1992    35.117
   142.25   -20.25    1993    25.862
   142.25   -20.25    1994    51.877
   142.25   -20.25    1995    30.894
   142.25   -20.25    1996    30.115
   142.25   -20.25    1997    35.211
   142.25   -20.25    1998    36.583
   142.25   -20.25    1999    29.736
   142.25   -20.25    2000    25.819
   142.25   -20.25    2001    43.814
   142.25   -20.25    2002    50.900
   142.25   -20.25    2003    40.408
   142.25   -20.25    2004    45.886
   142.25   -20.25    2005    40.235
   142.25   -20.25    2006    53.085
   142.25   -20.25    2007    50.773
   142.25   -20.25    2008    46.944
   142.25   -20.25    2009    40.664
   142.25   -20.25    2010    20.141
