      Lon      Lat    Year         NH3          NO         N2O          N2
    41.75    60.75    1980    0.026163    7.213880    6.874599    0.016154
    41.75    60.75    1981    0.043923   11.622812   10.572098    0.002103
    41.75    60.75    1982    0.025747    7.211813    6.579468    0.000063
    41.75    60.75    1983    0.030649    8.421073    8.231253    0.048604
    41.75    60.75    1984    0.029177    7.398266    7.064161    0.002007
    41.75    60.75    1985    0.028560    7.780121    7.355934    0.003920
    41.75    60.75    1986    0.023890    6.308691    6.015030    0.013005
    41.75    60.75    1987    0.024868    6.841473    6.609054    0.006825
    41.75    60.75    1988    0.039392   10.685553   10.210067    0.000000
    41.75    60.75    1989    0.040966   10.662469   10.188651    0.017571
    41.75    60.75    1990    0.028233    7.603844    7.211944    0.003055
    41.75    60.75    1991    0.032198    9.232375    8.701416    0.000000
    41.75    60.75    1992    0.025941    7.024951    6.010726    0.000000
    41.75    60.75    1993    0.023194    5.060506    4.821940    0.007771
    41.75    60.75    1994    0.023956    5.865961    5.434476    0.027037
    41.75    60.75    1995    0.034337    9.469295    9.033753    0.000114
    41.75    60.75    1996    0.024325    6.639772    6.179802    0.000290
    41.75    60.75    1997    0.026384    7.120294    6.270835    0.000274
    41.75    60.75    1998    0.029153    6.785437    6.552893    0.032192
    41.75    60.75    1999    0.037566   10.724518    9.888770    0.000006
    41.75    60.75    2000    0.032740    8.529822    7.919375    0.000000
    41.75    60.75    2001    0.029653    7.530782    6.488458    0.000021
    41.75    60.75    2002    0.027342    7.479024    6.707398    0.000823
    41.75    60.75    2003    0.027836    6.888267    6.217571    0.036872
    41.75    60.75    2004    0.026891    7.495305    6.922741    0.001752
    41.75    60.75    2005    0.032225    9.014268    8.250035    0.000000
    41.75    60.75    2006    0.027144    6.968125    6.356964    0.009443
    41.75    60.75    2007    0.026847    6.718897    6.516284    0.070862
    41.75    60.75    2008    0.020988    5.213241    4.949468    0.014237
    41.75    60.75    2009    0.023998    6.378849    5.936722    0.000964
    41.75    60.75    2010    0.036564    8.709984    7.786929    0.002860
   142.25   -20.25    1980    0.040490   11.542926   15.739515    1.111934
   142.25   -20.25    1981    0.042161   11.246970   15.718481    2.145747
   142.25   -20.25    1982    0.037839   11.167888   16.989390    1.640039
   142.25   -20.25    1983    0.038579   11.975585   18.058652    1.693420
   142.25   -20.25    1984    0.037073   10.064038   15.250979    2.038922
   142.25   -20.25    1985    0.037803   12.295408   15.950471    0.647441
   142.25   -20.25    1986    0.039777   12.867935   16.522116    0.344727
   142.25   -20.25    1987    0.040208   11.717675   23.291184    3.632463
   142.25   -20.25    1988    0.035675   11.729186   17.926178    0.819756
   142.25   -20.25    1989    0.038980   10.911988   20.533014    3.177090
   142.25   -20.25    1990    0.035835   11.158531   18.263028    3.043833
   142.25   -20.25    1991    0.040000   10.805227   12.997217    1.056545
   142.25   -20.25    1992    0.041888   12.167237   17.763852    2.590955
   142.25   -20.25    1993    0.041145   11.241454   17.803358    5.165150
   142.25   -20.25    1994    0.037419   11.228428   18.611071    3.765870
   142.25   -20.25    1995    0.041579   11.951617   17.824213    1.203578
   142.25   -20.25    1996    0.038716   11.711901   18.099805    1.729918
   142.25   -20.25    1997    0.039125    9.375322   13.422406    2.770212
   142.25   -20.25    1998    0.042743   12.633035   16.636751    1.616220
   142.25   -20.25    1999    0.039300   10.429334   13.904434    1.145888
   142.25   -20.25    2000    0.039178   10.057856   13.858200    3.919263
   142.25   -20.25    2001    0.040481   10.829977   12.430664    0.566013
   142.25   -20.25    2002    0.035524   10.296198   12.119873    0.859819
   142.25   -20.25    2003    0.041061   11.707996   16.283982    2.193751
   142.25   -20.25    2004    0.037376    9.957067   14.370512    1.380344
   142.25   -20.25    2005    0.039188   12.472420   14.343064    0.377435
   142.25   -20.25    2006    0.034779    9.428940   14.600726    2.397294
   142.25   -20.25    2007    0.036817   10.138410   13.694141    0.927376
   142.25   -20.25    2008    0.038082   10.803860   13.647568    0.933157
   142.25   -20.25    2009    0.037829    9.702575   11.673967    0.964453
   142.25   -20.25    2010    0.042351    9.484195   15.111714    2.215627
