      Lon      Lat    Year         NH3          NO         N2O          N2
    41.75    60.75    1980    0.025098    6.967059    6.579442    0.010601
    41.75    60.75    1981    0.041304   10.626024    9.432798    0.002373
    41.75    60.75    1982    0.024481    6.860873    6.153822    0.000066
    41.75    60.75    1983    0.029504    8.239363    7.963861    0.036594
    41.75    60.75    1984    0.027909    7.258403    6.876408    0.002342
    41.75    60.75    1985    0.026818    7.164597    6.684053    0.004625
    41.75    60.75    1986    0.022632    6.066712    5.750083    0.017093
    41.75    60.75    1987    0.023602    6.589429    6.331541    0.006079
    41.75    60.75    1988    0.037320   10.415073    9.859907    0.000000
    41.75    60.75    1989    0.038367   10.306134    9.778811    0.021072
    41.75    60.75    1990    0.026174    7.049896    6.624630    0.002970
    41.75    60.75    1991    0.029750    8.520641    7.941742    0.000000
    41.75    60.75    1992    0.023518    6.163346    5.074236    0.000021
    41.75    60.75    1993    0.022053    5.243681    4.973144    0.001858
    41.75    60.75    1994    0.021734    5.239787    4.799587    0.032316
    41.75    60.75    1995    0.031771    8.825921    8.352388    0.000000
    41.75    60.75    1996    0.022608    6.141372    5.643785    0.000202
    41.75    60.75    1997    0.024205    6.388752    5.462207    0.000470
    41.75    60.75    1998    0.027683    6.566122    6.318871    0.033676
    41.75    60.75    1999    0.035302    9.693258    8.730131    0.000006
    41.75    60.75    2000    0.031209    8.194416    7.497233    0.000000
    41.75    60.75    2001    0.027322    6.749269    5.592627    0.000009
    41.75    60.75    2002    0.025707    6.767701    5.877780    0.001148
    41.75    60.75    2003    0.026305    6.368964    5.618512    0.043040
    41.75    60.75    2004    0.025608    6.957960    6.313205    0.001723
    41.75    60.75    2005    0.030556    8.286757    7.389646    0.000000
    41.75    60.75    2006    0.026084    6.491486    5.775950    0.009235
    41.75    60.75    2007    0.025692    6.539848    6.341548    0.080727
    41.75    60.75    2008    0.019764    5.113611    4.837145    0.016021
    41.75    60.75    2009    0.022074    5.684793    5.190442    0.001162
    41.75    60.75    2010    0.033607    7.871331    6.815496    0.002080
   142.25   -20.25    1980    0.038133   10.875478   14.303369    0.887027
   142.25   -20.25    1981    0.040947   10.528948   14.705082    2.051288
   142.25   -20.25    1982    0.034658   10.543432   13.844968    0.938907
   142.25   -20.25    1983    0.034973   10.613657   13.385742    0.957365
   142.25   -20.25    1984    0.033406    9.042104   12.573790    1.452802
   142.25   -20.25    1985    0.036402   11.563668   13.946279    0.505962
   142.25   -20.25    1986    0.038817   11.655411   12.799021    0.121803
   142.25   -20.25    1987    0.038303   10.978070   17.452249    1.818466
   142.25   -20.25    1988    0.035499   11.021180   13.519851    0.401186
   142.25   -20.25    1989    0.037276   10.322584   16.637381    2.006416
   142.25   -20.25    1990    0.030924    9.921973   13.129934    1.685875
   142.25   -20.25    1991    0.035018    9.617825   10.577742    0.487740
   142.25   -20.25    1992    0.038348   10.978516   12.898605    0.681112
   142.25   -20.25    1993    0.039709   10.693977   14.690902    3.166016
   142.25   -20.25    1994    0.034489   10.552850   14.581713    2.049369
   142.25   -20.25    1995    0.037337   10.407833   11.695109    0.265768
   142.25   -20.25    1996    0.037018   10.863413   13.841659    0.845389
   142.25   -20.25    1997    0.035030    8.522965   10.025651    0.822954
   142.25   -20.25    1998    0.037932   11.130977   12.887188    0.512180
   142.25   -20.25    1999    0.036494    9.528656   12.144941    0.926828
   142.25   -20.25    2000    0.036115    9.106647   11.129775    1.244146
   142.25   -20.25    2001    0.034327    9.452890   10.235022    0.252545
   142.25   -20.25    2002    0.030563    9.094504    9.588685    0.204236
   142.25   -20.25    2003    0.036529   10.304682   11.367402    0.362464
   142.25   -20.25    2004    0.033020    8.829457   10.409694    0.587963
   142.25   -20.25    2005    0.035373   11.104826   12.007954    0.207014
   142.25   -20.25    2006    0.029472    8.387423    9.595754    0.482746
   142.25   -20.25    2007    0.030963    8.788978   10.580201    0.648509
   142.25   -20.25    2008    0.032569    9.532213   10.121335    0.192337
   142.25   -20.25    2009    0.032634    8.378475    8.762445    0.290444
   142.25   -20.25    2010    0.038521    8.446285   10.542875    0.762887
