      Lon      Lat    Year     Total
    41.75    60.75    1980     0.314
    41.75    60.75    1981     1.580
    41.75    60.75    1982     2.991
    41.75    60.75    1983     0.066
    41.75    60.75    1984     0.000
    41.75    60.75    1985     0.176
    41.75    60.75    1986     0.423
    41.75    60.75    1987     0.000
    41.75    60.75    1988     0.023
    41.75    60.75    1989     0.000
    41.75    60.75    1990     0.175
    41.75    60.75    1991     0.991
    41.75    60.75    1992     4.100
    41.75    60.75    1993     0.000
    41.75    60.75    1994     2.561
    41.75    60.75    1995     0.434
    41.75    60.75    1996     1.616
    41.75    60.75    1997     3.744
    41.75    60.75    1998     0.000
    41.75    60.75    1999     1.867
    41.75    60.75    2000     1.729
    41.75    60.75    2001     5.346
    41.75    60.75    2002     2.688
    41.75    60.75    2003     3.066
    41.75    60.75    2004     2.795
    41.75    60.75    2005     2.490
    41.75    60.75    2006     2.219
    41.75    60.75    2007     1.384
    41.75    60.75    2008     0.650
    41.75    60.75    2009     1.174
    41.75    60.75    2010     3.434
   142.25   -20.25    1980    27.082
   142.25   -20.25    1981    24.078
   142.25   -20.25    1982    39.345
   142.25   -20.25    1983    40.762
   142.25   -20.25    1984    40.113
   142.25   -20.25    1985    37.805
   142.25   -20.25    1986    32.678
   142.25   -20.25    1987    33.927
   142.25   -20.25    1988    31.136
   142.25   -20.25    1989    32.602
   142.25   -20.25    1990    61.254
   142.25   -20.25    1991    38.567
   142.25   -20.25    1992    34.365
   142.25   -20.25    1993    25.285
   142.25   -20.25    1994    50.886
   142.25   -20.25    1995    30.889
   142.25   -20.25    1996    29.626
   142.25   -20.25    1997    34.732
   142.25   -20.25    1998    36.530
   142.25   -20.25    1999    29.353
   142.25   -20.25    2000    25.835
   142.25   -20.25    2001    43.458
   142.25   -20.25    2002    51.258
   142.25   -20.25    2003    40.252
   142.25   -20.25    2004    45.057
   142.25   -20.25    2005    41.124
   142.25   -20.25    2006    52.374
   142.25   -20.25    2007    50.710
   142.25   -20.25    2008    46.886
   142.25   -20.25    2009    39.987
   142.25   -20.25    2010    20.018
