      Lon      Lat    Year        NH4        NO3        NO2         NO        N2O         N2
    41.75    60.75    1980   118.7929    15.5044     0.0000     0.0164     0.0042     0.0000
    41.75    60.75    1981   107.5071    11.7849     0.0000     0.0216     0.0106     0.0000
    41.75    60.75    1982   105.0880     0.0093     0.0000     0.0235     0.0120     0.0000
    41.75    60.75    1983   102.2726     7.9433     0.0000     0.0189     0.0086     0.0000
    41.75    60.75    1984   106.8102     7.1471     0.0000     0.0290     0.0195     0.0001
    41.75    60.75    1985   103.2640    14.2455     0.0000     0.0381     0.0277     0.0000
    41.75    60.75    1986   110.0099     7.0004     0.0000     0.0449     0.0321     0.0001
    41.75    60.75    1987   113.8006    12.2022     0.0000     0.0457     0.0359     0.0000
    41.75    60.75    1988   105.3674    14.0981     0.0000     0.0390     0.0217     0.0000
    41.75    60.75    1989    98.4743     6.3587     0.0000     0.0187     0.0092     0.0001
    41.75    60.75    1990    95.5166     9.1379     0.0000     0.0124     0.0027     0.0000
    41.75    60.75    1991    89.7611    10.1897     0.0000     0.0330     0.0240     0.0000
    41.75    60.75    1992    89.3393    24.4575     0.0136     0.0479     0.0344     0.0000
    41.75    60.75    1993    94.9270     7.5925     0.0000     0.0123     0.0029     0.0000
    41.75    60.75    1994    97.5609    13.1084     0.0000     0.0217     0.0124     0.0000
    41.75    60.75    1995    97.9136    11.2538     0.0000     0.0248     0.0162     0.0000
    41.75    60.75    1996    97.4653     7.9948     0.0000     0.0564     0.0491     0.0000
    41.75    60.75    1997    99.3326    15.6342     0.0000     0.0148     0.0047     0.0000
    41.75    60.75    1998   102.0466     5.9883     0.0000     0.0206     0.0112     0.0000
    41.75    60.75    1999    94.1967    14.8917     0.0000     0.0195     0.0105     0.0000
    41.75    60.75    2000    91.5486     9.8712     0.0000     0.0344     0.0259     0.0000
    41.75    60.75    2001    88.0527    16.5147     0.0000     0.0395     0.0319     0.0000
    41.75    60.75    2002    85.6481    20.2706     0.0000     0.0175     0.0090     0.0000
    41.75    60.75    2003    87.2214     9.8316     0.0000     0.0164     0.0075     0.0000
    41.75    60.75    2004    82.2070     7.9918     0.0000     0.0189     0.0108     0.0000
    41.75    60.75    2005    76.8088    15.1124     0.0000     0.0329     0.0258     0.0000
    41.75    60.75    2006    77.3266     6.9952     0.0000     0.0294     0.0199     0.0000
    41.75    60.75    2007    75.0419    10.7376     0.0000     0.0123     0.0049     0.0000
    41.75    60.75    2008    76.4375     5.2777     0.0000     0.0305     0.0229     0.0000
    41.75    60.75    2009    75.9797     8.1050     0.0000     0.0389     0.0318     0.0000
    41.75    60.75    2010    77.0013    10.1815     0.0000     0.0467     0.0414     0.0000
   142.25   -20.25    1980    14.2753    58.8831     1.0811     0.0760     0.0768     0.0001
   142.25   -20.25    1981    13.6217    51.2206     1.1173     0.0880     0.0889     0.0001
   142.25   -20.25    1982    16.4583    57.0648     0.9421     0.0691     0.0697     0.0000
   142.25   -20.25    1983    15.2943    58.3782     1.2608     0.0892     0.0902     0.0001
   142.25   -20.25    1984    16.9667    51.3932     0.8592     0.0894     0.0901     0.0001
   142.25   -20.25    1985    14.7769    62.9288     2.9636     0.1098     0.1173     0.0006
   142.25   -20.25    1986    14.8211    78.0802     1.8133     0.0952     0.0973     0.0002
   142.25   -20.25    1987    14.6090    58.9167     2.9813     0.0606     0.0694     0.0015
   142.25   -20.25    1988    15.0907    60.6561     6.8966     0.0463     0.1271     0.0201
   142.25   -20.25    1989    18.0768    49.9108     1.6184     0.1522     0.1545     0.0002
   142.25   -20.25    1990    14.9236    47.5330     0.9352     0.0708     0.0718     0.0001
   142.25   -20.25    1991    15.5707    51.4062     0.7442     0.0556     0.0559     0.0000
   142.25   -20.25    1992    15.1595    58.0743     2.9218     0.0872     0.0950     0.0008
   142.25   -20.25    1993    16.2252    53.1012     2.8071     0.1101     0.1204     0.0010
   142.25   -20.25    1994    16.7431    59.0776     0.6869     0.0504     0.0505     0.0000
   142.25   -20.25    1995    14.9703    55.2689     2.8908     0.0656     0.0748     0.0012
   142.25   -20.25    1996    13.7523    54.9438     1.9611     0.1061     0.1098     0.0003
   142.25   -20.25    1997    19.1984    37.0681     5.1971     0.0367     0.1117     0.0388
   142.25   -20.25    1998    13.2519    41.9376     2.8508     0.0619     0.0707     0.0108
   142.25   -20.25    1999    16.1556    42.0738     4.3258     0.0520     0.0887     0.0108
   142.25   -20.25    2000    18.1234    28.4481     5.3955     0.0194     0.1206     0.1284
   142.25   -20.25    2001    15.3552    43.4113     2.3463     0.0788     0.0892     0.0013
   142.25   -20.25    2002    16.9760    56.0981     0.8614     0.0459     0.0463     0.0000
   142.25   -20.25    2003    16.5323    53.9192     4.3298     0.0767     0.1001     0.0054
   142.25   -20.25    2004    18.5190    46.3596     4.5925     0.0688     0.1098     0.0155
   142.25   -20.25    2005    14.5759    60.9318     1.6550     0.0894     0.0924     0.0002
   142.25   -20.25    2006    17.1907    47.6386     0.8117     0.0503     0.0508     0.0000
   142.25   -20.25    2007    14.1872    34.4542     3.4228     0.0456     0.0744     0.0105
   142.25   -20.25    2008    15.8161    47.9883     1.6426     0.0531     0.0565     0.0004
   142.25   -20.25    2009    18.0730    48.7991     3.0779     0.0711     0.0819     0.0049
   142.25   -20.25    2010    19.0336    24.7393     5.4308     0.0148     0.1555     0.1373
