      Lon      Lat    Year     Total
    41.75    60.75    1980     0.000
    41.75    60.75    1981     0.885
    41.75    60.75    1982     2.272
    41.75    60.75    1983     0.000
    41.75    60.75    1984     0.000
    41.75    60.75    1985     0.000
    41.75    60.75    1986     0.125
    41.75    60.75    1987     0.000
    41.75    60.75    1988     0.000
    41.75    60.75    1989     0.000
    41.75    60.75    1990     0.000
    41.75    60.75    1991     0.508
    41.75    60.75    1992     3.022
    41.75    60.75    1993     0.000
    41.75    60.75    1994     1.890
    41.75    60.75    1995     0.032
    41.75    60.75    1996     1.351
    41.75    60.75    1997     2.451
    41.75    60.75    1998     0.000
    41.75    60.75    1999     0.873
    41.75    60.75    2000     0.984
    41.75    60.75    2001     3.952
    41.75    60.75    2002     1.587
    41.75    60.75    2003     2.160
    41.75    60.75    2004     2.107
    41.75    60.75    2005     1.424
    41.75    60.75    2006     1.381
    41.75    60.75    2007     0.986
    41.75    60.75    2008     0.417
    41.75    60.75    2009     0.706
    41.75    60.75    2010     2.108
   142.25   -20.25    1980    15.081
   142.25   -20.25    1981    12.867
   142.25   -20.25    1982    21.392
   142.25   -20.25    1983    21.686
   142.25   -20.25    1984    22.016
   142.25   -20.25    1985    21.029
   142.25   -20.25    1986    17.062
   142.25   -20.25    1987    17.967
   142.25   -20.25    1988    16.799
   142.25   -20.25    1989    17.595
   142.25   -20.25    1990    35.417
   142.25   -20.25    1991    21.540
   142.25   -20.25    1992    18.962
   142.25   -20.25    1993    13.201
   142.25   -20.25    1994    29.126
   142.25   -20.25    1995    16.206
   142.25   -20.25    1996    15.690
   142.25   -20.25    1997    19.395
   142.25   -20.25    1998    19.238
   142.25   -20.25    1999    16.198
   142.25   -20.25    2000    12.920
   142.25   -20.25    2001    24.386
   142.25   -20.25    2002    29.882
   142.25   -20.25    2003    22.620
   142.25   -20.25    2004    27.603
   142.25   -20.25    2005    22.585
   142.25   -20.25    2006    30.595
   142.25   -20.25    2007    32.859
   142.25   -20.25    2008    26.032
   142.25   -20.25    2009    23.311
   142.25   -20.25    2010     9.456
