      Lon      Lat    Year         NH3          NO         N2O          N2
    41.75    60.75    1980    0.024036    6.677695    6.262479    0.007916
    41.75    60.75    1981    0.038892    9.796944    8.518504    0.001686
    41.75    60.75    1982    0.023400    6.530066    5.781278    0.000080
    41.75    60.75    1983    0.028440    7.986776    7.622389    0.021117
    41.75    60.75    1984    0.026757    7.047488    6.626355    0.002816
    41.75    60.75    1985    0.025364    6.720589    6.216767    0.003994
    41.75    60.75    1986    0.021535    5.806807    5.469162    0.019075
    41.75    60.75    1987    0.022352    6.232530    5.966873    0.005861
    41.75    60.75    1988    0.035199    9.807625    9.206459    0.000000
    41.75    60.75    1989    0.036510    9.786440    9.210301    0.022391
    41.75    60.75    1990    0.024759    6.645258    6.196597    0.003332
    41.75    60.75    1991    0.027886    7.893995    7.270490    0.000000
    41.75    60.75    1992    0.021573    5.559118    4.451232    0.000010
    41.75    60.75    1993    0.020814    5.179399    4.901752    0.001715
    41.75    60.75    1994    0.019751    4.708772    4.279371    0.036408
    41.75    60.75    1995    0.029526    8.248895    7.745452    0.000060
    41.75    60.75    1996    0.020961    5.650368    5.149029    0.000148
    41.75    60.75    1997    0.021884    5.693334    4.736496    0.000577
    41.75    60.75    1998    0.025770    6.138593    5.893250    0.035817
    41.75    60.75    1999    0.032769    8.741784    7.699099    0.000006
    41.75    60.75    2000    0.029815    7.840969    7.102369    0.000000
    41.75    60.75    2001    0.025671    6.248484    5.003489    0.000067
    41.75    60.75    2002    0.024699    6.367004    5.397786    0.001751
    41.75    60.75    2003    0.025101    5.969933    5.163084    0.039348
    41.75    60.75    2004    0.024635    6.559014    5.867724    0.001525
    41.75    60.75    2005    0.029284    7.780717    6.784053    0.000000
    41.75    60.75    2006    0.025112    6.142091    5.357056    0.008771
    41.75    60.75    2007    0.024429    6.291704    6.122030    0.087402
    41.75    60.75    2008    0.018583    4.911767    4.634050    0.016242
    41.75    60.75    2009    0.020121    5.032515    4.512814    0.001116
    41.75    60.75    2010    0.030610    7.147525    6.029763    0.002171
   142.25   -20.25    1980    0.033603    9.960732   12.541800    0.747617
   142.25   -20.25    1981    0.036688    9.454778   13.598621    1.945569
   142.25   -20.25    1982    0.030419    9.655008   11.725538    0.590820
   142.25   -20.25    1983    0.029272    9.262232   11.384257    0.817524
   142.25   -20.25    1984    0.029807    8.325632   11.057423    1.026306
   142.25   -20.25    1985    0.033023   10.402878   12.690945    0.524296
   142.25   -20.25    1986    0.035058   10.553561   10.964165    0.049743
   142.25   -20.25    1987    0.034173   10.141247   13.874149    0.921342
   142.25   -20.25    1988    0.032100    9.929936   11.259825    0.287399
   142.25   -20.25    1989    0.033402    9.309858   12.826304    1.109136
   142.25   -20.25    1990    0.026243    8.942434   12.231060    1.963065
   142.25   -20.25    1991    0.030576    8.647599    9.105572    0.306748
   142.25   -20.25    1992    0.033402    9.893377   11.009085    0.257238
   142.25   -20.25    1993    0.035261    9.688945   12.642083    1.916944
   142.25   -20.25    1994    0.031604    9.711204   12.397238    1.183332
   142.25   -20.25    1995    0.032753    9.408537   10.461281    0.229969
   142.25   -20.25    1996    0.033150    9.732629   11.434396    0.425653
   142.25   -20.25    1997    0.030691    7.711600    8.408179    0.261090
   142.25   -20.25    1998    0.033151   10.027881   11.593352    0.336275
   142.25   -20.25    1999    0.031506    8.438177    9.673779    0.413038
   142.25   -20.25    2000    0.030456    7.746993    9.768020    0.703287
   142.25   -20.25    2001    0.029782    8.632579    9.647284    0.314801
   142.25   -20.25    2002    0.027656    8.234320    8.939683    0.318780
   142.25   -20.25    2003    0.033968    9.559809   10.568402    0.293064
   142.25   -20.25    2004    0.029848    7.666352    8.273155    0.354700
   142.25   -20.25    2005    0.033625   10.697322   11.730256    0.253191
   142.25   -20.25    2006    0.025952    7.631350    8.870645    0.424735
   142.25   -20.25    2007    0.027693    8.169493   11.419713    1.059538
   142.25   -20.25    2008    0.029466    8.903206    9.709310    0.272644
   142.25   -20.25    2009    0.029771    7.412163    7.899116    0.422039
   142.25   -20.25    2010    0.035632    7.612598    9.981784    0.880250
