      Lon      Lat    Year         NH3          NO         N2O          N2
    41.75    60.75    1980    0.023792    6.561873    6.246058    0.015002
    41.75    60.75    1981    0.039847   10.489472    9.504294    0.002418
    41.75    60.75    1982    0.023279    6.530393    5.926050    0.000048
    41.75    60.75    1983    0.027502    7.601072    7.441650    0.050169
    41.75    60.75    1984    0.026632    6.780660    6.473813    0.002027
    41.75    60.75    1985    0.025845    6.965458    6.560468    0.004106
    41.75    60.75    1986    0.021701    5.743813    5.470721    0.012136
    41.75    60.75    1987    0.022657    6.253504    6.036852    0.007528
    41.75    60.75    1988    0.035903    9.804788    9.355288    0.000000
    41.75    60.75    1989    0.037992    9.894584    9.461577    0.016756
    41.75    60.75    1990    0.026160    7.020706    6.641116    0.003248
    41.75    60.75    1991    0.029438    8.451285    7.963098    0.000000
    41.75    60.75    1992    0.023353    6.266904    5.309164    0.000008
    41.75    60.75    1993    0.020738    4.680695    4.455068    0.005107
    41.75    60.75    1994    0.020332    4.936547    4.572086    0.030567
    41.75    60.75    1995    0.029942    8.270717    7.892759    0.000050
    41.75    60.75    1996    0.021426    5.842329    5.415917    0.000168
    41.75    60.75    1997    0.022892    6.154153    5.392057    0.000388
    41.75    60.75    1998    0.025459    5.973743    5.767777    0.028967
    41.75    60.75    1999    0.033291    9.480006    8.729970    0.000005
    41.75    60.75    2000    0.029588    7.716467    7.153262    0.000000
    41.75    60.75    2001    0.026478    6.664551    5.685749    0.000018
    41.75    60.75    2002    0.024294    6.565870    5.839546    0.000798
    41.75    60.75    2003    0.024340    5.997353    5.379780    0.031864
    41.75    60.75    2004    0.023250    6.425720    5.902573    0.002313
    41.75    60.75    2005    0.027840    7.718399    7.027479    0.000000
    41.75    60.75    2006    0.023759    6.051488    5.487940    0.008373
    41.75    60.75    2007    0.023032    5.779977    5.639373    0.071871
    41.75    60.75    2008    0.017745    4.489358    4.262530    0.014526
    41.75    60.75    2009    0.019701    5.166653    4.785398    0.000776
    41.75    60.75    2010    0.031007    7.376237    6.572010    0.003216
   142.25   -20.25    1980    0.040373   11.509936   16.448067    1.313178
   142.25   -20.25    1981    0.042459   11.275937   16.435941    2.469477
   142.25   -20.25    1982    0.037684   11.162556   17.804586    1.866182
   142.25   -20.25    1983    0.038829   11.989377   18.697401    1.923676
   142.25   -20.25    1984    0.037099   10.059888   16.016166    2.349774
   142.25   -20.25    1985    0.038093   12.391809   16.381305    0.732121
   142.25   -20.25    1986    0.040060   12.828685   16.818881    0.380205
   142.25   -20.25    1987    0.040447   11.765201   25.467240    4.237808
   142.25   -20.25    1988    0.036108   11.779066   18.370325    0.874424
   142.25   -20.25    1989    0.039015   10.943027   22.060793    3.654955
   142.25   -20.25    1990    0.035783   11.131356   19.286001    3.571805
   142.25   -20.25    1991    0.039822   10.746349   13.227449    1.203624
   142.25   -20.25    1992    0.042107   12.193762   18.187342    2.779219
   142.25   -20.25    1993    0.041196   11.255862   18.566400    5.815701
   142.25   -20.25    1994    0.037329   11.202155   19.226722    4.098045
   142.25   -20.25    1995    0.041594   11.944069   18.547404    1.333242
   142.25   -20.25    1996    0.038671   11.720032   18.983335    1.976841
   142.25   -20.25    1997    0.038835    9.298557   13.969805    3.237285
   142.25   -20.25    1998    0.042647   12.581074   17.247735    1.923857
   142.25   -20.25    1999    0.039040   10.363428   14.502361    1.383319
   142.25   -20.25    2000    0.038796    9.986102   14.370081    4.547939
   142.25   -20.25    2001    0.039711   10.664150   12.578207    0.681475
   142.25   -20.25    2002    0.035014   10.206861   12.267124    0.945363
   142.25   -20.25    2003    0.040954   11.692254   16.655054    2.396006
   142.25   -20.25    2004    0.037146    9.915285   14.925174    1.531452
   142.25   -20.25    2005    0.038956   12.374718   14.401710    0.410578
   142.25   -20.25    2006    0.034379    9.375640   15.317839    2.775877
   142.25   -20.25    2007    0.036528   10.090061   14.118414    1.051492
   142.25   -20.25    2008    0.037422   10.669177   13.790482    1.021642
   142.25   -20.25    2009    0.037337    9.558357   11.712680    1.048531
   142.25   -20.25    2010    0.042022    9.413477   15.531811    2.412813
