      Lon      Lat    Year    TeWW    TeSW   TeWWi   TeSWi
    41.75    60.75    1980   0.965   0.964   0.965   0.964
    41.75    60.75    1981   0.939   0.936   0.946   0.948
    41.75    60.75    1982   0.964   0.961   0.967   0.964
    41.75    60.75    1983   0.963   0.962   0.963   0.962
    41.75    60.75    1984   0.955   0.957   0.955   0.957
    41.75    60.75    1985   0.968   0.968   0.968   0.968
    41.75    60.75    1986   0.963   0.962   0.963   0.962
    41.75    60.75    1987   0.966   0.966   0.966   0.966
    41.75    60.75    1988   0.954   0.953   0.954   0.953
    41.75    60.75    1989   0.941   0.944   0.941   0.944
    41.75    60.75    1990   0.967   0.960   0.968   0.960
    41.75    60.75    1991   0.959   0.959   0.962   0.962
    41.75    60.75    1992   0.961   0.961   0.967   0.966
    41.75    60.75    1993   0.969   0.961   0.969   0.961
    41.75    60.75    1994   0.962   0.962   0.966   0.965
    41.75    60.75    1995   0.938   0.946   0.940   0.948
    41.75    60.75    1996   0.967   0.967   0.968   0.968
    41.75    60.75    1997   0.946   0.946   0.961   0.960
    41.75    60.75    1998   0.962   0.963   0.962   0.963
    41.75    60.75    1999   0.917   0.934   0.939   0.948
    41.75    60.75    2000   0.956   0.959   0.962   0.963
    41.75    60.75    2001   0.950   0.953   0.966   0.966
    41.75    60.75    2002   0.960   0.962   0.965   0.965
    41.75    60.75    2003   0.960   0.960   0.967   0.965
    41.75    60.75    2004   0.966   0.966   0.969   0.968
    41.75    60.75    2005   0.960   0.960   0.965   0.965
    41.75    60.75    2006   0.964   0.963   0.967   0.966
    41.75    60.75    2007   0.968   0.967   0.969   0.968
    41.75    60.75    2008   0.968   0.956   0.969   0.956
    41.75    60.75    2009   0.966   0.966   0.967   0.966
    41.75    60.75    2010   0.923   0.882   0.944   0.939
   142.25   -20.25    1980   0.490   0.477   0.830   0.746
   142.25   -20.25    1981   0.541   0.470   0.799   0.712
   142.25   -20.25    1982   0.522   0.472   0.839   0.752
   142.25   -20.25    1983   0.499   0.467   0.866   0.763
   142.25   -20.25    1984   0.543   0.465   0.887   0.713
   142.25   -20.25    1985   0.496   0.462   0.939   0.782
   142.25   -20.25    1986   0.488   0.446   0.856   0.763
   142.25   -20.25    1987   0.509   0.462   0.806   0.757
   142.25   -20.25    1988   0.474   0.465   0.886   0.817
   142.25   -20.25    1989   0.521   0.485   0.768   0.716
   142.25   -20.25    1990   0.495   0.480   0.908   0.822
   142.25   -20.25    1991   0.535   0.463   0.944   0.844
   142.25   -20.25    1992   0.485   0.459   0.889   0.813
   142.25   -20.25    1993   0.558   0.485   0.822   0.731
   142.25   -20.25    1994   0.481   0.456   0.817   0.725
   142.25   -20.25    1995   0.485   0.465   0.924   0.861
   142.25   -20.25    1996   0.504   0.482   0.878   0.790
   142.25   -20.25    1997   0.540   0.481   0.921   0.856
   142.25   -20.25    1998   0.559   0.522   0.934   0.872
   142.25   -20.25    1999   0.582   0.526   0.946   0.814
   142.25   -20.25    2000   0.590   0.548   0.924   0.842
   142.25   -20.25    2001   0.552   0.523   0.945   0.896
   142.25   -20.25    2002   0.481   0.465   0.953   0.925
   142.25   -20.25    2003   0.555   0.489   0.918   0.852
   142.25   -20.25    2004   0.511   0.483   0.904   0.836
   142.25   -20.25    2005   0.484   0.470   0.952   0.928
   142.25   -20.25    2006   0.581   0.527   0.914   0.868
   142.25   -20.25    2007   0.567   0.508   0.934   0.899
   142.25   -20.25    2008   0.541   0.480   0.964   0.883
   142.25   -20.25    2009   0.671   0.543   0.945   0.927
   142.25   -20.25    2010   0.650   0.552   0.922   0.836
