      Lon      Lat    Year         NH3          NO         N2O          N2
    41.75    60.75    1980    0.024975    6.919340    6.526155    0.009452
    41.75    60.75    1981    0.040952   10.532920    9.347914    0.002393
    41.75    60.75    1982    0.024297    6.799212    6.104808    0.000066
    41.75    60.75    1983    0.029267    8.168721    7.893515    0.036190
    41.75    60.75    1984    0.027685    7.193589    6.807975    0.002139
    41.75    60.75    1985    0.026525    7.082115    6.606526    0.004613
    41.75    60.75    1986    0.022387    6.012777    5.696487    0.018037
    41.75    60.75    1987    0.023381    6.524416    6.271470    0.005814
    41.75    60.75    1988    0.037096   10.353968    9.800424    0.000000
    41.75    60.75    1989    0.038061   10.204743    9.664708    0.021493
    41.75    60.75    1990    0.025849    6.964773    6.543798    0.003057
    41.75    60.75    1991    0.029259    8.378753    7.801841    0.000000
    41.75    60.75    1992    0.023064    6.033757    4.956864    0.000000
    41.75    60.75    1993    0.021679    5.159003    4.893878    0.001880
    41.75    60.75    1994    0.021372    5.144895    4.711127    0.032291
    41.75    60.75    1995    0.031359    8.737016    8.269189    0.000069
    41.75    60.75    1996    0.022360    6.064938    5.571022    0.000197
    41.75    60.75    1997    0.023872    6.291391    5.366515    0.000481
    41.75    60.75    1998    0.027422    6.506911    6.263817    0.034053
    41.75    60.75    1999    0.035044    9.613123    8.651853    0.000006
    41.75    60.75    2000    0.030992    8.127429    7.436702    0.000000
    41.75    60.75    2001    0.027039    6.673036    5.520258    0.000029
    41.75    60.75    2002    0.025412    6.686799    5.805887    0.001212
    41.75    60.75    2003    0.025946    6.275712    5.533098    0.042134
    41.75    60.75    2004    0.025301    6.866570    6.226061    0.002004
    41.75    60.75    2005    0.030183    8.173474    7.280130    0.000000
    41.75    60.75    2006    0.025883    6.435212    5.720236    0.009110
    41.75    60.75    2007    0.025511    6.497483    6.304945    0.081868
    41.75    60.75    2008    0.019595    5.078649    4.806983    0.016224
    41.75    60.75    2009    0.021761    5.586701    5.094066    0.001091
    41.75    60.75    2010    0.033380    7.826552    6.791360    0.002118
   142.25   -20.25    1980    0.038310   10.891617   13.714583    0.733851
   142.25   -20.25    1981    0.040741   10.490389   13.952928    1.719312
   142.25   -20.25    1982    0.034714   10.519034   13.291328    0.789118
   142.25   -20.25    1983    0.034865   10.581193   12.949227    0.826477
   142.25   -20.25    1984    0.033505    9.052760   12.121482    1.259921
   142.25   -20.25    1985    0.036303   11.539477   13.622346    0.443512
   142.25   -20.25    1986    0.038783   11.672678   12.650058    0.105624
   142.25   -20.25    1987    0.038178   10.915625   16.073550    1.459226
   142.25   -20.25    1988    0.035303   10.988710   13.125024    0.354129
   142.25   -20.25    1989    0.037304   10.314059   15.531161    1.637537
   142.25   -20.25    1990    0.030961    9.921995   12.502265    1.391240
   142.25   -20.25    1991    0.034900    9.585790   10.189616    0.329300
   142.25   -20.25    1992    0.038269   10.944657   12.398322    0.468683
   142.25   -20.25    1993    0.039670   10.672911   14.107533    2.706707
   142.25   -20.25    1994    0.034416   10.531385   13.872333    1.711910
   142.25   -20.25    1995    0.037357   10.396762   11.291549    0.185086
   142.25   -20.25    1996    0.036972   10.836760   13.365471    0.710820
   142.25   -20.25    1997    0.035188    8.537935    9.574973    0.518002
   142.25   -20.25    1998    0.038100   11.168531   12.501566    0.344302
   142.25   -20.25    1999    0.036667    9.549422   11.669512    0.741566
   142.25   -20.25    2000    0.036414    9.181393   10.857515    0.860343
   142.25   -20.25    2001    0.034775    9.525998   10.234849    0.227601
   142.25   -20.25    2002    0.030812    9.152811    9.612209    0.187407
   142.25   -20.25    2003    0.036359   10.241093   11.004305    0.220180
   142.25   -20.25    2004    0.032847    8.785203    9.875758    0.422664
   142.25   -20.25    2005    0.035391   11.140405   11.999894    0.194417
   142.25   -20.25    2006    0.029569    8.376744    9.218489    0.307496
   142.25   -20.25    2007    0.031089    8.815922   10.439058    0.592687
   142.25   -20.25    2008    0.032878    9.576805   10.129933    0.178116
   142.25   -20.25    2009    0.032854    8.458717    8.819153    0.258023
   142.25   -20.25    2010    0.038495    8.439848   10.152284    0.608655
