      Lon      Lat    Year     Total
    41.75    60.75    1980     1.031
    41.75    60.75    1981     3.141
    41.75    60.75    1982     4.327
    41.75    60.75    1983     0.528
    41.75    60.75    1984     0.545
    41.75    60.75    1985     0.936
    41.75    60.75    1986     0.963
    41.75    60.75    1987     0.000
    41.75    60.75    1988     0.698
    41.75    60.75    1989     0.379
    41.75    60.75    1990     0.740
    41.75    60.75    1991     2.011
    41.75    60.75    1992     6.424
    41.75    60.75    1993     0.000
    41.75    60.75    1994     3.876
    41.75    60.75    1995     1.225
    41.75    60.75    1996     2.522
    41.75    60.75    1997     6.015
    41.75    60.75    1998     0.136
    41.75    60.75    1999     3.856
    41.75    60.75    2000     2.891
    41.75    60.75    2001     7.946
    41.75    60.75    2002     4.893
    41.75    60.75    2003     4.774
    41.75    60.75    2004     4.169
    41.75    60.75    2005     4.815
    41.75    60.75    2006     4.159
    41.75    60.75    2007     2.025
    41.75    60.75    2008     1.038
    41.75    60.75    2009     2.603
    41.75    60.75    2010     5.301
   142.25   -20.25    1980    42.038
   142.25   -20.25    1981    38.703
   142.25   -20.25    1982    58.477
   142.25   -20.25    1983    60.813
   142.25   -20.25    1984    54.558
   142.25   -20.25    1985    53.428
   142.25   -20.25    1986    50.508
   142.25   -20.25    1987    51.378
   142.25   -20.25    1988    47.197
   142.25   -20.25    1989    49.065
   142.25   -20.25    1990    82.846
   142.25   -20.25    1991    55.557
   142.25   -20.25    1992    50.640
   142.25   -20.25    1993    40.854
   142.25   -20.25    1994    71.684
   142.25   -20.25    1995    46.622
   142.25   -20.25    1996    45.060
   142.25   -20.25    1997    49.821
   142.25   -20.25    1998    51.352
   142.25   -20.25    1999    43.197
   142.25   -20.25    2000    39.533
   142.25   -20.25    2001    57.718
   142.25   -20.25    2002    68.325
   142.25   -20.25    2003    55.815
   142.25   -20.25    2004    59.109
   142.25   -20.25    2005    55.298
   142.25   -20.25    2006    69.273
   142.25   -20.25    2007    62.430
   142.25   -20.25    2008    61.146
   142.25   -20.25    2009    55.933
   142.25   -20.25    2010    29.118
