      Lon      Lat    Year        NH4        NO3        NO2         NO        N2O         N2
    41.75    60.75    1980   103.1246    15.8417     0.0000     0.0144     0.0037     0.0000
    41.75    60.75    1981    96.6375    11.5826     0.0000     0.0196     0.0097     0.0000
    41.75    60.75    1982    90.9051     0.0080     0.0000     0.0204     0.0104     0.0000
    41.75    60.75    1983    87.4880     7.8380     0.0000     0.0162     0.0074     0.0000
    41.75    60.75    1984    93.0485     7.1321     0.0000     0.0255     0.0173     0.0001
    41.75    60.75    1985    88.6619    13.7071     0.0000     0.0323     0.0233     0.0000
    41.75    60.75    1986    95.3294     6.9619     0.0000     0.0389     0.0278     0.0001
    41.75    60.75    1987    97.4512    12.0266     0.0000     0.0391     0.0307     0.0000
    41.75    60.75    1988    90.1816    13.9638     0.0000     0.0335     0.0187     0.0000
    41.75    60.75    1989    85.2046     6.3343     0.0000     0.0163     0.0082     0.0001
    41.75    60.75    1990    80.5426     8.8632     0.0000     0.0105     0.0023     0.0000
    41.75    60.75    1991    77.1687     9.9353     0.0000     0.0284     0.0207     0.0000
    41.75    60.75    1992    76.5431    24.7209     0.0151     0.0394     0.0275     0.0000
    41.75    60.75    1993    76.3716     7.4219     0.0000     0.0100     0.0024     0.0000
    41.75    60.75    1994    78.1283    12.2785     0.0000     0.0176     0.0101     0.0000
    41.75    60.75    1995    82.3408    11.1007     0.0000     0.0211     0.0138     0.0000
    41.75    60.75    1996    80.0600     8.0986     0.0000     0.0471     0.0411     0.0000
    41.75    60.75    1997    84.1523    15.9711     0.0000     0.0125     0.0040     0.0000
    41.75    60.75    1998    85.3131     5.7465     0.0000     0.0173     0.0094     0.0000
    41.75    60.75    1999    83.0564    14.5834     0.0000     0.0174     0.0095     0.0000
    41.75    60.75    2000    80.7704     9.5361     0.0000     0.0304     0.0229     0.0000
    41.75    60.75    2001    77.7590    16.5316     0.0000     0.0346     0.0278     0.0000
    41.75    60.75    2002    75.4735    20.5084     0.0000     0.0151     0.0076     0.0000
    41.75    60.75    2003    76.9521     9.3163     0.0000     0.0145     0.0066     0.0000
    41.75    60.75    2004    70.6874     7.8168     0.0000     0.0164     0.0094     0.0000
    41.75    60.75    2005    68.7080    14.9382     0.0000     0.0293     0.0229     0.0000
    41.75    60.75    2006    67.8078     6.9471     0.0000     0.0259     0.0175     0.0000
    41.75    60.75    2007    63.1388     9.9928     0.0000     0.0104     0.0041     0.0000
    41.75    60.75    2008    60.0477     4.8756     0.0000     0.0241     0.0181     0.0000
    41.75    60.75    2009    59.9098     7.5386     0.0000     0.0304     0.0248     0.0000
    41.75    60.75    2010    66.1052     9.7388     0.0000     0.0403     0.0357     0.0000
   142.25   -20.25    1980    16.2261    53.1690     1.0662     0.0647     0.0657     0.0001
   142.25   -20.25    1981    15.2257    43.4688     0.9977     0.0751     0.0763     0.0001
   142.25   -20.25    1982    16.2123    48.5421     0.9769     0.0616     0.0624     0.0001
   142.25   -20.25    1983    16.4948    47.1765     1.0583     0.0824     0.0834     0.0001
   142.25   -20.25    1984    15.7975    40.0052     0.9144     0.0826     0.0835     0.0001
   142.25   -20.25    1985    14.7698    51.2394     2.2885     0.0978     0.1045     0.0006
   142.25   -20.25    1986    17.5380    65.2825     1.6181     0.0870     0.0895     0.0002
   142.25   -20.25    1987    15.5382    48.8701     2.3218     0.0409     0.0500     0.0018
   142.25   -20.25    1988    16.2398    51.3377     5.0590     0.0708     0.1136     0.0115
   142.25   -20.25    1989    17.4125    40.4753     1.1476     0.1271     0.1287     0.0002
   142.25   -20.25    1990    12.4725    36.8131     0.9877     0.0642     0.0655     0.0001
   142.25   -20.25    1991    15.0087    43.2598     0.7472     0.0481     0.0484     0.0000
   142.25   -20.25    1992    16.5563    50.7192     2.2881     0.0728     0.0798     0.0007
   142.25   -20.25    1993    17.2759    47.1638     2.1429     0.0945     0.1028     0.0010
   142.25   -20.25    1994    15.4889    50.3255     0.7601     0.0428     0.0430     0.0000
   142.25   -20.25    1995    16.0110    46.4816     2.3930     0.0503     0.0607     0.0014
   142.25   -20.25    1996    13.8435    45.2013     1.6231     0.1003     0.1042     0.0003
   142.25   -20.25    1997    16.9000    29.8737     4.0340     0.0388     0.0857     0.0209
   142.25   -20.25    1998    12.3173    32.1851     2.4691     0.0536     0.0638     0.0084
   142.25   -20.25    1999    15.4822    33.9908     2.8853     0.0492     0.0682     0.0086
   142.25   -20.25    2000    16.0318    21.7855     4.5568     0.0179     0.1102     0.1191
   142.25   -20.25    2001    12.0870    32.3684     2.3582     0.0707     0.0848     0.0016
   142.25   -20.25    2002    15.2548    48.3535     0.8106     0.0392     0.0395     0.0000
   142.25   -20.25    2003    16.3086    46.6551     3.3078     0.0557     0.0731     0.0062
   142.25   -20.25    2004    14.6947    36.2019     3.3176     0.0519     0.0770     0.0158
   142.25   -20.25    2005    14.1745    50.9122     1.8211     0.0822     0.0864     0.0003
   142.25   -20.25    2006    13.3615    37.3408     0.8710     0.0454     0.0460     0.0001
   142.25   -20.25    2007    13.7636    29.4811     3.3071     0.0280     0.0685     0.0158
   142.25   -20.25    2008    13.3522    39.0337     1.6740     0.0507     0.0550     0.0004
   142.25   -20.25    2009    17.2764    42.0027     2.4583     0.0510     0.0607     0.0041
   142.25   -20.25    2010    16.3689    18.7988     4.0954     0.0119     0.1109     0.0937
