      Lon      Lat    Year     Total
    41.75    60.75    1980     0.000
    41.75    60.75    1981     0.582
    41.75    60.75    1982     1.582
    41.75    60.75    1983     0.000
    41.75    60.75    1984     0.000
    41.75    60.75    1985     0.000
    41.75    60.75    1986     0.061
    41.75    60.75    1987     0.000
    41.75    60.75    1988     0.000
    41.75    60.75    1989     0.000
    41.75    60.75    1990     0.000
    41.75    60.75    1991     0.507
    41.75    60.75    1992     2.060
    41.75    60.75    1993     0.000
    41.75    60.75    1994     1.415
    41.75    60.75    1995     0.004
    41.75    60.75    1996     0.806
    41.75    60.75    1997     1.884
    41.75    60.75    1998     0.000
    41.75    60.75    1999     0.794
    41.75    60.75    2000     0.771
    41.75    60.75    2001     3.077
    41.75    60.75    2002     1.054
    41.75    60.75    2003     1.529
    41.75    60.75    2004     1.476
    41.75    60.75    2005     0.822
    41.75    60.75    2006     0.878
    41.75    60.75    2007     0.739
    41.75    60.75    2008     0.115
    41.75    60.75    2009     0.406
    41.75    60.75    2010     1.839
   142.25   -20.25    1980    15.031
   142.25   -20.25    1981    12.831
   142.25   -20.25    1982    21.281
   142.25   -20.25    1983    21.526
   142.25   -20.25    1984    21.904
   142.25   -20.25    1985    21.014
   142.25   -20.25    1986    16.927
   142.25   -20.25    1987    17.889
   142.25   -20.25    1988    16.725
   142.25   -20.25    1989    17.694
   142.25   -20.25    1990    35.734
   142.25   -20.25    1991    21.683
   142.25   -20.25    1992    18.917
   142.25   -20.25    1993    13.128
   142.25   -20.25    1994    29.014
   142.25   -20.25    1995    16.164
   142.25   -20.25    1996    15.620
   142.25   -20.25    1997    19.353
   142.25   -20.25    1998    19.187
   142.25   -20.25    1999    16.286
   142.25   -20.25    2000    13.040
   142.25   -20.25    2001    24.598
   142.25   -20.25    2002    29.951
   142.25   -20.25    2003    22.560
   142.25   -20.25    2004    27.570
   142.25   -20.25    2005    22.706
   142.25   -20.25    2006    30.677
   142.25   -20.25    2007    33.820
   142.25   -20.25    2008    26.289
   142.25   -20.25    2009    23.241
   142.25   -20.25    2010     9.437
