      Lon      Lat    Year        NH4        NO3        NO2         NO        N2O         N2
    41.75    60.75    1980   116.0900    15.8938     0.0000     0.0161     0.0041     0.0000
    41.75    60.75    1981   105.2086    11.6933     0.0000     0.0212     0.0104     0.0000
    41.75    60.75    1982   102.1350     0.0090     0.0000     0.0228     0.0116     0.0000
    41.75    60.75    1983    99.3630     7.8742     0.0000     0.0183     0.0083     0.0000
    41.75    60.75    1984   104.7557     7.3477     0.0000     0.0285     0.0192     0.0001
    41.75    60.75    1985   100.4190    14.0609     0.0000     0.0370     0.0269     0.0000
    41.75    60.75    1986   107.2070     6.7474     0.0000     0.0438     0.0313     0.0001
    41.75    60.75    1987   110.5923    12.0804     0.0000     0.0444     0.0349     0.0000
    41.75    60.75    1988   102.3920    14.3669     0.0000     0.0379     0.0211     0.0000
    41.75    60.75    1989    96.6481     6.3016     0.0000     0.0184     0.0091     0.0001
    41.75    60.75    1990    93.0319     8.9656     0.0000     0.0121     0.0026     0.0000
    41.75    60.75    1991    87.2235    10.1016     0.0000     0.0321     0.0234     0.0000
    41.75    60.75    1992    86.5419    24.8073     0.0140     0.0462     0.0330     0.0000
    41.75    60.75    1993    91.2922     7.4455     0.0000     0.0119     0.0028     0.0000
    41.75    60.75    1994    93.1636    12.7802     0.0000     0.0207     0.0118     0.0000
    41.75    60.75    1995    95.5425    11.5985     0.0000     0.0242     0.0158     0.0000
    41.75    60.75    1996    94.4898     7.9194     0.0000     0.0547     0.0476     0.0000
    41.75    60.75    1997    96.5929    15.5079     0.0000     0.0144     0.0046     0.0000
    41.75    60.75    1998    99.3353     5.9392     0.0000     0.0201     0.0109     0.0000
    41.75    60.75    1999    92.3049    14.7395     0.0000     0.0191     0.0103     0.0000
    41.75    60.75    2000    89.3257     9.5424     0.0000     0.0336     0.0253     0.0000
    41.75    60.75    2001    85.0068    16.3599     0.0000     0.0381     0.0307     0.0000
    41.75    60.75    2002    81.7593    19.9950     0.0000     0.0167     0.0086     0.0000
    41.75    60.75    2003    83.7513     9.2649     0.0000     0.0158     0.0072     0.0000
    41.75    60.75    2004    78.9866     7.9772     0.0000     0.0181     0.0104     0.0000
    41.75    60.75    2005    74.6343    14.9604     0.0000     0.0320     0.0250     0.0000
    41.75    60.75    2006    74.6208     6.9540     0.0000     0.0284     0.0193     0.0000
    41.75    60.75    2007    73.1845    10.5899     0.0000     0.0120     0.0048     0.0000
    41.75    60.75    2008    73.4956     5.1446     0.0000     0.0293     0.0220     0.0000
    41.75    60.75    2009    72.7824     7.9899     0.0000     0.0373     0.0304     0.0000
    41.75    60.75    2010    74.8749    10.0735     0.0000     0.0454     0.0402     0.0000
   142.25   -20.25    1980    13.8098    57.6132     1.0417     0.0776     0.0784     0.0001
   142.25   -20.25    1981    13.2656    50.2158     1.0926     0.0892     0.0900     0.0001
   142.25   -20.25    1982    15.9589    55.9623     0.8961     0.0700     0.0705     0.0000
   142.25   -20.25    1983    14.8184    56.8596     1.2526     0.0898     0.0909     0.0001
   142.25   -20.25    1984    16.3872    49.8501     0.8101     0.0901     0.0906     0.0000
   142.25   -20.25    1985    14.5839    60.3907     2.8276     0.1105     0.1175     0.0006
   142.25   -20.25    1986    14.2359    73.4934     1.7536     0.0960     0.0980     0.0001
   142.25   -20.25    1987    14.1281    57.0656     2.9351     0.0613     0.0698     0.0014
   142.25   -20.25    1988    14.7656    58.0969     6.4550     0.0428     0.1174     0.0196
   142.25   -20.25    1989    17.8387    47.8678     1.5515     0.1537     0.1558     0.0002
   142.25   -20.25    1990    14.2802    46.1703     0.8740     0.0718     0.0726     0.0001
   142.25   -20.25    1991    14.8959    50.0363     0.7106     0.0565     0.0568     0.0000
   142.25   -20.25    1992    14.7684    56.7866     2.8812     0.0879     0.0955     0.0007
   142.25   -20.25    1993    15.9884    52.1022     2.7904     0.1108     0.1212     0.0010
   142.25   -20.25    1994    16.2243    57.7533     0.6456     0.0514     0.0515     0.0000
   142.25   -20.25    1995    14.5347    53.7834     2.8132     0.0661     0.0746     0.0011
   142.25   -20.25    1996    13.5540    53.0258     1.8957     0.1067     0.1100     0.0003
   142.25   -20.25    1997    18.7572    35.8969     4.8594     0.0350     0.1021     0.0358
   142.25   -20.25    1998    12.7706    40.4613     2.6627     0.0604     0.0678     0.0098
   142.25   -20.25    1999    15.7985    40.8440     4.1334     0.0487     0.0836     0.0105
   142.25   -20.25    2000    17.9327    27.4794     4.9256     0.0190     0.1050     0.1086
   142.25   -20.25    2001    14.7701    41.4600     2.2021     0.0788     0.0878     0.0012
   142.25   -20.25    2002    16.2538    54.1182     0.8065     0.0469     0.0472     0.0000
   142.25   -20.25    2003    16.1484    52.3061     4.1284     0.0725     0.0946     0.0048
   142.25   -20.25    2004    17.9879    44.4504     4.2327     0.0646     0.1005     0.0138
   142.25   -20.25    2005    13.8072    56.9740     1.5243     0.0903     0.0928     0.0002
   142.25   -20.25    2006    16.5419    46.0010     0.7267     0.0510     0.0513     0.0000
   142.25   -20.25    2007    13.9286    33.5876     3.2378     0.0450     0.0699     0.0089
   142.25   -20.25    2008    15.1299    46.4142     1.5439     0.0535     0.0564     0.0003
   142.25   -20.25    2009    17.3572    46.4159     2.8782     0.0698     0.0792     0.0042
   142.25   -20.25    2010    18.7242    23.3831     4.7996     0.0141     0.1278     0.1133
