      Lon      Lat    Year     Total
    41.75    60.75    1980     0.153
    41.75    60.75    1981     1.222
    41.75    60.75    1982     2.478
    41.75    60.75    1983     0.013
    41.75    60.75    1984     0.000
    41.75    60.75    1985     0.006
    41.75    60.75    1986     0.325
    41.75    60.75    1987     0.000
    41.75    60.75    1988     0.000
    41.75    60.75    1989     0.000
    41.75    60.75    1990     0.029
    41.75    60.75    1991     0.842
    41.75    60.75    1992     3.262
    41.75    60.75    1993     0.000
    41.75    60.75    1994     2.174
    41.75    60.75    1995     0.440
    41.75    60.75    1996     1.298
    41.75    60.75    1997     3.268
    41.75    60.75    1998     0.000
    41.75    60.75    1999     1.606
    41.75    60.75    2000     1.296
    41.75    60.75    2001     4.546
    41.75    60.75    2002     2.118
    41.75    60.75    2003     2.510
    41.75    60.75    2004     2.366
    41.75    60.75    2005     1.923
    41.75    60.75    2006     1.721
    41.75    60.75    2007     1.089
    41.75    60.75    2008     0.426
    41.75    60.75    2009     0.859
    41.75    60.75    2010     2.919
   142.25   -20.25    1980    28.966
   142.25   -20.25    1981    25.890
   142.25   -20.25    1982    41.772
   142.25   -20.25    1983    43.553
   142.25   -20.25    1984    41.745
   142.25   -20.25    1985    40.258
   142.25   -20.25    1986    34.993
   142.25   -20.25    1987    36.250
   142.25   -20.25    1988    33.360
   142.25   -20.25    1989    34.391
   142.25   -20.25    1990    64.160
   142.25   -20.25    1991    41.592
   142.25   -20.25    1992    36.896
   142.25   -20.25    1993    27.371
   142.25   -20.25    1994    53.644
   142.25   -20.25    1995    33.064
   142.25   -20.25    1996    31.618
   142.25   -20.25    1997    36.703
   142.25   -20.25    1998    38.784
   142.25   -20.25    1999    31.750
   142.25   -20.25    2000    27.773
   142.25   -20.25    2001    45.723
   142.25   -20.25    2002    53.867
   142.25   -20.25    2003    42.426
   142.25   -20.25    2004    46.956
   142.25   -20.25    2005    43.889
   142.25   -20.25    2006    54.562
   142.25   -20.25    2007    53.120
   142.25   -20.25    2008    48.749
   142.25   -20.25    2009    42.008
   142.25   -20.25    2010    21.528
