      Lon      Lat    Year         NH3          NO         N2O          N2
    41.75    60.75    1980    0.023821    6.565278    6.249567    0.014297
    41.75    60.75    1981    0.039622   10.431950    9.454623    0.002327
    41.75    60.75    1982    0.022981    6.436387    5.843146    0.000005
    41.75    60.75    1983    0.027014    7.460130    7.303414    0.048973
    41.75    60.75    1984    0.026103    6.620330    6.320701    0.001711
    41.75    60.75    1985    0.025434    6.865889    6.473351    0.003921
    41.75    60.75    1986    0.021389    5.671964    5.407519    0.013282
    41.75    60.75    1987    0.022379    6.162578    5.950390    0.006237
    41.75    60.75    1988    0.035342    9.641885    9.196960    0.000000
    41.75    60.75    1989    0.037132    9.671054    9.246462    0.016009
    41.75    60.75    1990    0.025522    6.856249    6.492502    0.003174
    41.75    60.75    1991    0.028684    8.223777    7.748789    0.000000
    41.75    60.75    1992    0.022955    6.160190    5.221183    0.000000
    41.75    60.75    1993    0.020464    4.614245    4.386898    0.003050
    41.75    60.75    1994    0.020286    4.925720    4.563368    0.029878
    41.75    60.75    1995    0.029954    8.292363    7.915400    0.000121
    41.75    60.75    1996    0.021541    5.880156    5.454495    0.000165
    41.75    60.75    1997    0.023030    6.195934    5.432697    0.000382
    41.75    60.75    1998    0.025604    6.006530    5.796772    0.028535
    41.75    60.75    1999    0.033304    9.484112    8.735381    0.000005
    41.75    60.75    2000    0.029300    7.636283    7.074274    0.000000
    41.75    60.75    2001    0.025998    6.552280    5.597094    0.000024
    41.75    60.75    2002    0.023765    6.432898    5.729226    0.000766
    41.75    60.75    2003    0.023989    5.927240    5.327302    0.034940
    41.75    60.75    2004    0.022915    6.338598    5.828493    0.001740
    41.75    60.75    2005    0.027619    7.671521    6.993125    0.000000
    41.75    60.75    2006    0.023637    6.025653    5.469083    0.008175
    41.75    60.75    2007    0.022965    5.756050    5.612508    0.070480
    41.75    60.75    2008    0.017598    4.436587    4.214848    0.014379
    41.75    60.75    2009    0.019634    5.168014    4.793144    0.000821
    41.75    60.75    2010    0.030969    7.366748    6.565899    0.003110
   142.25   -20.25    1980    0.040133   11.428440   12.105997    0.202903
   142.25   -20.25    1981    0.040429   10.786232   12.051769    0.610305
   142.25   -20.25    1982    0.037274   11.039508   11.845251    0.233275
   142.25   -20.25    1983    0.036473   11.269425   12.327734    0.395890
   142.25   -20.25    1984    0.035383    9.675337   10.603764    0.371420
   142.25   -20.25    1985    0.036544   11.852584   13.056837    0.261927
   142.25   -20.25    1986    0.039690   12.695371   13.126859    0.053992
   142.25   -20.25    1987    0.038895   11.278668   12.373050    0.310164
   142.25   -20.25    1988    0.034950   11.423283   12.260404    0.182361
   142.25   -20.25    1989    0.038322   10.550427   11.891433    0.390244
   142.25   -20.25    1990    0.034261   10.600243   11.652731    0.625925
   142.25   -20.25    1991    0.037626   10.338891   10.589390    0.141062
   142.25   -20.25    1992    0.039569   11.538353   12.149791    0.136129
   142.25   -20.25    1993    0.040434   10.955461   12.333295    0.909110
   142.25   -20.25    1994    0.036774   11.081734   12.692474    0.783839
   142.25   -20.25    1995    0.039282   11.166021   11.748477    0.120731
   142.25   -20.25    1996    0.037649   11.243391   12.117895    0.222405
   142.25   -20.25    1997    0.037249    8.999976    9.368839    0.131966
   142.25   -20.25    1998    0.039904   11.823616   12.559260    0.168284
   142.25   -20.25    1999    0.038317   10.101018   10.700303    0.182795
   142.25   -20.25    2000    0.037674    9.477209   10.519699    0.313455
   142.25   -20.25    2001    0.037861   10.126929   10.594019    0.148099
   142.25   -20.25    2002    0.034331    9.941916   10.265823    0.127411
   142.25   -20.25    2003    0.038107   10.741904   11.241497    0.130864
   142.25   -20.25    2004    0.034649    9.206986    9.518499    0.155042
   142.25   -20.25    2005    0.037274   11.900787   12.636382    0.161227
   142.25   -20.25    2006    0.032616    8.877297    9.319342    0.146445
   142.25   -20.25    2007    0.033786    9.442323   10.346896    0.367629
   142.25   -20.25    2008    0.035952   10.248139   10.659258    0.122804
   142.25   -20.25    2009    0.035324    9.235646    9.517049    0.172302
   142.25   -20.25    2010    0.038770    8.585820    9.795551    0.387661
