      Lon      Lat    Year     Total
    41.75    60.75    1980     0.004
    41.75    60.75    1981     0.887
    41.75    60.75    1982     2.296
    41.75    60.75    1983     0.000
    41.75    60.75    1984     0.000
    41.75    60.75    1985     0.006
    41.75    60.75    1986     0.133
    41.75    60.75    1987     0.000
    41.75    60.75    1988     0.000
    41.75    60.75    1989     0.000
    41.75    60.75    1990     0.004
    41.75    60.75    1991     0.506
    41.75    60.75    1992     3.045
    41.75    60.75    1993     0.000
    41.75    60.75    1994     1.907
    41.75    60.75    1995     0.029
    41.75    60.75    1996     1.376
    41.75    60.75    1997     2.508
    41.75    60.75    1998     0.000
    41.75    60.75    1999     0.872
    41.75    60.75    2000     0.977
    41.75    60.75    2001     3.975
    41.75    60.75    2002     1.631
    41.75    60.75    2003     2.149
    41.75    60.75    2004     2.103
    41.75    60.75    2005     1.430
    41.75    60.75    2006     1.418
    41.75    60.75    2007     0.981
    41.75    60.75    2008     0.479
    41.75    60.75    2009     0.715
    41.75    60.75    2010     2.148
   142.25   -20.25    1980    15.464
   142.25   -20.25    1981    13.229
   142.25   -20.25    1982    22.020
   142.25   -20.25    1983    22.299
   142.25   -20.25    1984    22.625
   142.25   -20.25    1985    21.626
   142.25   -20.25    1986    17.624
   142.25   -20.25    1987    18.480
   142.25   -20.25    1988    17.309
   142.25   -20.25    1989    18.054
   142.25   -20.25    1990    36.018
   142.25   -20.25    1991    22.100
   142.25   -20.25    1992    19.483
   142.25   -20.25    1993    13.638
   142.25   -20.25    1994    29.858
   142.25   -20.25    1995    16.538
   142.25   -20.25    1996    16.108
   142.25   -20.25    1997    19.875
   142.25   -20.25    1998    19.856
   142.25   -20.25    1999    16.722
   142.25   -20.25    2000    13.350
   142.25   -20.25    2001    25.246
   142.25   -20.25    2002    30.655
   142.25   -20.25    2003    23.275
   142.25   -20.25    2004    28.199
   142.25   -20.25    2005    23.230
   142.25   -20.25    2006    31.557
   142.25   -20.25    2007    33.517
   142.25   -20.25    2008    27.117
   142.25   -20.25    2009    23.922
   142.25   -20.25    2010     9.840
