      Lon      Lat    Year         NH3          NO         N2O          N2
    41.75    60.75    1980    0.026083    7.258274    6.813756    0.009635
    41.75    60.75    1981    0.042478   10.758467    9.400801    0.001522
    41.75    60.75    1982    0.025547    7.139036    6.365784    0.000080
    41.75    60.75    1983    0.031253    8.758575    8.392992    0.029024
    41.75    60.75    1984    0.029106    7.640798    7.174094    0.003039
    41.75    60.75    1985    0.027714    7.401628    6.882019    0.004677
    41.75    60.75    1986    0.023404    6.308038    5.945727    0.019597
    41.75    60.75    1987    0.024241    6.781482    6.499620    0.005504
    41.75    60.75    1988    0.038364   10.725173   10.078229    0.000000
    41.75    60.75    1989    0.038966   10.358886    9.700533    0.026167
    41.75    60.75    1990    0.026400    7.122333    6.663370    0.003465
    41.75    60.75    1991    0.029986    8.462464    7.774626    0.000000
    41.75    60.75    1992    0.023611    6.121198    4.960702    0.000000
    41.75    60.75    1993    0.022822    5.556801    5.264494    0.001935
    41.75    60.75    1994    0.022530    5.412490    4.921203    0.032785
    41.75    60.75    1995    0.032882    9.146754    8.574718    0.000000
    41.75    60.75    1996    0.023209    6.283875    5.754062    0.000170
    41.75    60.75    1997    0.024592    6.400612    5.344743    0.000483
    41.75    60.75    1998    0.028828    6.844843    6.569290    0.036784
    41.75    60.75    1999    0.036089    9.585411    8.406386    0.000007
    41.75    60.75    2000    0.032304    8.496381    7.701225    0.000000
    41.75    60.75    2001    0.028021    6.850416    5.538326    0.000055
    41.75    60.75    2002    0.026912    6.989290    5.974959    0.001710
    41.75    60.75    2003    0.027767    6.654984    5.806202    0.048134
    41.75    60.75    2004    0.027592    7.431386    6.694638    0.002489
    41.75    60.75    2005    0.032627    8.704267    7.621134    0.000000
    41.75    60.75    2006    0.027750    6.817003    5.980834    0.009594
    41.75    60.75    2007    0.027496    7.071797    6.840300    0.087667
    41.75    60.75    2008    0.021249    5.555884    5.247076    0.016610
    41.75    60.75    2009    0.023740    6.023302    5.442359    0.001251
    41.75    60.75    2010    0.035260    8.228826    6.964533    0.001996
   142.25   -20.25    1980    0.034097   10.027062   12.182059    0.614521
   142.25   -20.25    1981    0.037028    9.522875   13.063440    1.681977
   142.25   -20.25    1982    0.030723    9.720819   11.389105    0.480276
   142.25   -20.25    1983    0.029565    9.292278   11.026308    0.672049
   142.25   -20.25    1984    0.029978    8.349673   10.662926    0.856482
   142.25   -20.25    1985    0.033305   10.450414   12.309635    0.418892
   142.25   -20.25    1986    0.034920   10.541252   10.873483    0.041945
   142.25   -20.25    1987    0.033798    9.945612   12.133956    0.550237
   142.25   -20.25    1988    0.032062    9.899609   11.016762    0.247291
   142.25   -20.25    1989    0.033354    9.292333   11.840922    0.795606
   142.25   -20.25    1990    0.026339    9.003621   11.759374    1.635092
   142.25   -20.25    1991    0.030750    8.721677    9.128175    0.258852
   142.25   -20.25    1992    0.033910    9.951709   10.946478    0.227608
   142.25   -20.25    1993    0.035739    9.767880   12.320606    1.599964
   142.25   -20.25    1994    0.031564    9.766461   12.119698    1.049845
   142.25   -20.25    1995    0.032987    9.415199   10.344550    0.202789
   142.25   -20.25    1996    0.033447    9.759812   10.877377    0.284728
   142.25   -20.25    1997    0.031042    7.797631    8.414537    0.226405
   142.25   -20.25    1998    0.033698   10.149247   11.530037    0.294607
   142.25   -20.25    1999    0.032336    8.587217    9.512737    0.298475
   142.25   -20.25    2000    0.031451    7.920289    9.651802    0.598731
   142.25   -20.25    2001    0.030427    8.793725    9.699239    0.278899
   142.25   -20.25    2002    0.028038    8.399126    9.042205    0.284681
   142.25   -20.25    2003    0.033941    9.572694   10.464609    0.257362
   142.25   -20.25    2004    0.030161    7.857483    8.376455    0.298763
   142.25   -20.25    2005    0.033519   10.706234   11.648918    0.228418
   142.25   -20.25    2006    0.026292    7.733810    8.797963    0.362804
   142.25   -20.25    2007    0.028002    8.241555   10.937430    0.889779
   142.25   -20.25    2008    0.029453    8.904996    9.629541    0.243839
   142.25   -20.25    2009    0.030324    7.621225    8.071554    0.367688
   142.25   -20.25    2010    0.036644    7.812332    9.909229    0.769853
