      Lon      Lat    Year    TeWW    TeSW   TeWWi   TeSWi
    41.75    60.75    1980   0.967   0.967   0.968   0.967
    41.75    60.75    1981   0.951   0.947   0.959   0.959
    41.75    60.75    1982   0.966   0.963   0.969   0.965
    41.75    60.75    1983   0.967   0.966   0.967   0.967
    41.75    60.75    1984   0.963   0.964   0.964   0.965
    41.75    60.75    1985   0.969   0.969   0.969   0.969
    41.75    60.75    1986   0.966   0.966   0.967   0.967
    41.75    60.75    1987   0.968   0.968   0.968   0.968
    41.75    60.75    1988   0.961   0.961   0.962   0.962
    41.75    60.75    1989   0.957   0.957   0.958   0.958
    41.75    60.75    1990   0.969   0.961   0.969   0.961
    41.75    60.75    1991   0.964   0.964   0.967   0.966
    41.75    60.75    1992   0.964   0.963   0.968   0.968
    41.75    60.75    1993   0.969   0.962   0.969   0.962
    41.75    60.75    1994   0.966   0.965   0.969   0.968
    41.75    60.75    1995   0.953   0.956   0.956   0.960
    41.75    60.75    1996   0.969   0.968   0.969   0.969
    41.75    60.75    1997   0.955   0.954   0.966   0.965
    41.75    60.75    1998   0.967   0.966   0.967   0.966
    41.75    60.75    1999   0.933   0.945   0.957   0.960
    41.75    60.75    2000   0.961   0.962   0.966   0.966
    41.75    60.75    2001   0.956   0.958   0.968   0.968
    41.75    60.75    2002   0.963   0.964   0.968   0.968
    41.75    60.75    2003   0.964   0.964   0.969   0.968
    41.75    60.75    2004   0.968   0.968   0.970   0.970
    41.75    60.75    2005   0.963   0.963   0.968   0.968
    41.75    60.75    2006   0.966   0.965   0.968   0.968
    41.75    60.75    2007   0.969   0.969   0.970   0.969
    41.75    60.75    2008   0.969   0.957   0.969   0.957
    41.75    60.75    2009   0.968   0.968   0.969   0.969
    41.75    60.75    2010   0.940   0.911   0.959   0.958
   142.25   -20.25    1980   0.513   0.493   0.938   0.879
   142.25   -20.25    1981   0.570   0.480   0.907   0.852
   142.25   -20.25    1982   0.524   0.482   0.938   0.886
   142.25   -20.25    1983   0.494   0.474   0.946   0.908
   142.25   -20.25    1984   0.566   0.477   0.943   0.849
   142.25   -20.25    1985   0.500   0.468   0.961   0.909
   142.25   -20.25    1986   0.473   0.450   0.936   0.886
   142.25   -20.25    1987   0.502   0.470   0.906   0.855
   142.25   -20.25    1988   0.478   0.471   0.950   0.923
   142.25   -20.25    1989   0.530   0.499   0.881   0.830
   142.25   -20.25    1990   0.516   0.498   0.956   0.937
   142.25   -20.25    1991   0.563   0.470   0.960   0.927
   142.25   -20.25    1992   0.481   0.467   0.951   0.926
   142.25   -20.25    1993   0.593   0.503   0.912   0.854
   142.25   -20.25    1994   0.487   0.465   0.926   0.854
   142.25   -20.25    1995   0.496   0.476   0.956   0.943
   142.25   -20.25    1996   0.527   0.499   0.945   0.905
   142.25   -20.25    1997   0.573   0.498   0.954   0.939
   142.25   -20.25    1998   0.596   0.549   0.959   0.951
   142.25   -20.25    1999   0.620   0.553   0.963   0.922
   142.25   -20.25    2000   0.641   0.589   0.959   0.942
   142.25   -20.25    2001   0.602   0.563   0.963   0.956
   142.25   -20.25    2002   0.501   0.479   0.964   0.959
   142.25   -20.25    2003   0.580   0.499   0.952   0.935
   142.25   -20.25    2004   0.534   0.497   0.948   0.929
   142.25   -20.25    2005   0.500   0.484   0.963   0.958
   142.25   -20.25    2006   0.614   0.551   0.952   0.936
   142.25   -20.25    2007   0.598   0.532   0.957   0.948
   142.25   -20.25    2008   0.578   0.499   0.967   0.950
   142.25   -20.25    2009   0.724   0.577   0.959   0.954
   142.25   -20.25    2010   0.706   0.588   0.955   0.937
